year,recipient_name,purpose_code,climate_adaptation,usd_disbursement,usd_disbursement_deflated
2018,Philippines,73010,2,0,0
2018,Haiti,21020,2,7.423391,6.340086
2018,Pakistan,74020,2,0.822862,0.717252
2018,Samoa,15110,2,0.006076,0.005189
2018,Nicaragua,43060,2,0.906272,0.941145
2018,Ethiopia,41010,2,1.052888,1.290755
2018,Mauritania,41010,2,0.0331,0.032234
2018,Dominican Republic,15110,2,0.008095,0.006914
2018,Mauritius,22020,2,4.962798,4.238571
2018,Bangladesh,21020,2,60.429614,62.841931
2018,Honduras,43060,2,0.185858,0.196141
2018,Costa Rica,43060,2,0.104982,0.089662
2018,Kenya,31140,2,15.714477,13.42292
2018,Sudan,15110,2,0.006329,0.005406
2018,Saint Vincent and the Grenadines,15110,2,0.010096,0.008623
2018,Palau,41030,2,0.284884,0.243311
2018,Iran,15110,2,0.004935,0.004215
2018,Indonesia,14040,2,0.642135,0.548428
2018,Panama,43060,2,0.099848,0.085277
2018,Tuvalu,41010,2,0.014017,0.011971
2018,Haiti,74020,2,1.006135,0.919443
2018,South Sudan,41010,2,1.01168,1.05295
2018,Sudan,41010,2,2.806702,2.922504
2018,Cambodia,31140,2,26.24291,25.237509
2018,Niger,14031,2,0.104636,0.091348
2018,Malawi,41010,2,3.336261,3.375794
2018,Myanmar,21020,2,0.905436,0.773305
2018,Niger,41010,2,6.921059,7.202489
2018,Burkina Faso,41010,2,0.004075,0.00348
2018,"America, regional",43060,2,2.995645,2.781738
2018,Samoa,41010,2,5.121855,4.745648
2018,Dominican Republic,41010,2,0.651294,0.641378
2018,Pakistan,43060,2,4.760118,4.887912
2018,Mongolia,15110,2,16.447037,16.963337
2018,Brazil,43060,2,1.480489,1.26444
2018,Peru,41010,2,2.57761,2.650151
2018,Bangladesh,14021,2,29.022772,24.787442
2018,"Bilateral, unspecified",41082,2,18.364179,19.531601
2018,"Bilateral, unspecified",41030,2,30.570866,31.432564
2018,"Bilateral, unspecified",24010,2,7.61969,8.033351
2018,Ethiopia,41030,2,0.556834,0.566579
2018,Mexico,41030,2,0.35,0.403658
2018,"Bilateral, unspecified",21010,2,8.83866,9.452245
2018,"Bilateral, unspecified",23210,2,59.286107,60.513286
2018,"Bilateral, unspecified",31310,2,1.769911,2.010809
2018,India,31110,2,1.960929,2.122422
2018,Kenya,43082,2,0.223401,0.220487
2018,Tanzania,41030,2,1.444378,1.538549
2018,Uganda,43082,2,0.038357,0.037503
2018,Bolivia,43040,2,2.620548,2.629556
2018,"Bilateral, unspecified",31382,2,0.177207,0.173265
2018,Tanzania,41082,2,0.139655,0.133268
2018,Kenya,41030,2,0.306085,0.299276
2018,Kenya,43060,2,3.918322,3.91894
2018,Bolivia,41010,2,0.659088,0.673624
2018,"Bilateral, unspecified",31220,2,3.986158,3.967642
2018,Indonesia,41030,2,1.379003,1.363315
2018,Senegal,43082,2,0.053699,0.052505
2018,"Asia, regional",41030,2,3.425814,3.478312
2018,Rwanda,43082,2,0.054658,0.053442
2018,"Bilateral, unspecified",25010,2,0.394899,0.389084
2018,Mali,31195,2,2.30139,2.250199
2018,Mauritania,43082,2,0.053699,0.052505
2018,Guatemala,43040,2,5.764864,5.725268
2018,Albania,41010,2,5.023099,4.931133
2018,"Africa, regional",31210,2,1.500833,1.527836
2018,Tanzania,43082,2,0.140174,0.137056
2018,Mali,31210,2,0.035442,0.034654
2018,Cameroon,41030,2,0.765212,0.748191
2018,Rwanda,41010,2,4.139505,4.117343
2018,"Bilateral, unspecified",31120,2,13.689335,14.233191
2018,"Bilateral, unspecified",31193,2,2.30139,2.250199
2018,"Africa, regional",11110,2,0.747952,0.731315
2018,Zimbabwe,43040,2,6.736607,6.593589
2018,"Bilateral, unspecified",31210,2,13.336195,13.759872
2018,"South of Sahara, regional",33110,2,0.920556,0.90008
2018,Liberia,31320,2,0.381861,0.373367
2018,Uganda,41030,2,0.241646,0.236271
2018,Burkina Faso,31220,2,0.766007,0.783356
2018,Mali,43082,2,0.053699,0.052505
2018,Bolivia,14032,2,2.761668,2.700239
2018,"Bilateral, unspecified",43060,2,24.04288,26.20396
2018,"Bilateral, unspecified",43082,2,1.141293,1.181629
2018,Namibia,41030,2,0.159468,0.157659
2018,"Asia, regional",31210,2,2.486467,2.376422
2018,Tanzania,31182,2,0.622303,0.70956
2018,"Bilateral, unspecified",15160,2,1.477582,1.45777
2018,Ethiopia,43082,2,0.038357,0.037503
2018,"Bilateral, unspecified",43081,2,0.332672,0.325272
2018,"Asia, regional",15160,2,0.310688,0.303777
2018,Guatemala,41082,2,0.230139,0.22502
2018,Zambia,41010,2,6.499688,6.759022
2018,Zimbabwe,41081,2,0.402743,0.393785
2018,Mali,23210,2,1.070146,1.046342
2018,Bangladesh,43060,2,27.710425,28.786932
2018,Nepal,41010,2,0.11657,0.120819
2018,Colombia,31120,2,1.264822,1.239847
2018,Rwanda,31182,2,0.046411,0.045379
2018,Zambia,41030,2,0.418386,0.415256
2018,Burkina Faso,31120,2,11.84366,11.785925
2018,Bolivia,12182,2,0.044877,0.043879
2018,"Middle East, regional",14010,2,2.917482,2.863272
2018,"South of Sahara, regional",23210,2,10.21203,10.084429
2018,"South of Sahara, regional",41030,2,12.413633,13.889601
2018,Burkina Faso,31130,2,0.090581,0.090687
2018,India,43082,2,2.380521,2.917686
2018,Kenya,41082,2,0.143528,0.153743
2018,Bolivia,43030,2,0.690417,0.67506
2018,"Bilateral, unspecified",12110,2,0.817207,0.844931
2018,"Bilateral, unspecified",14010,2,4.414005,4.35012
2018,Kenya,31220,2,3.537256,3.468714
2018,Democratic Republic of the Congo,15150,2,0.209426,0.204768
2018,Mozambique,41030,2,2.172569,2.13103
2018,"Asia, regional",43060,2,1.458255,1.678899
2018,Kenya,74020,2,11.155941,11.006053
2018,Cambodia,41010,2,9.701767,9.919478
2018,"Bilateral, unspecified",15110,2,3.28307,3.445573
2018,Mali,41010,2,9.065724,8.999382
2018,"Asia, regional",41082,2,1.088314,1.118864
2018,Mozambique,31120,2,1.967938,1.92629
2018,"Middle East, regional",14021,2,2.186321,2.137689
2018,Uganda,31120,2,23.10459,23.427856
2018,Mozambique,31210,2,1.09316,1.068844
2018,Serbia,32130,2,0.805487,0.78757
2018,Sudan,14010,2,3.812888,3.824518
2018,Mozambique,41082,2,0.018699,0.018283
2018,Bolivia,14020,2,0.990983,0.980447
2018,"Oceania, regional",31320,2,2.680962,2.621327
2018,Madagascar,41030,2,8.143082,8.1671
2018,"Bilateral, unspecified",14030,2,5.087951,5.013075
2018,Tanzania,41010,2,3.603988,3.697757
2018,Burkina Faso,31140,2,0.401539,0.431526
2018,"South of Sahara, regional",14010,2,3.570004,3.671762
2018,Kenya,31120,2,2.776964,2.85356
2018,Malawi,74020,2,0.542292,0.532441
2018,Pakistan,31166,2,0.138925,0.136401
2018,Nicaragua,31161,2,0.266494,0.261179
2018,Zambia,41081,2,0.033454,0.041011
2018,Guatemala,74020,2,0.101204,0.09567
2018,Malawi,43010,2,0.866182,0.862367
2018,Malawi,31182,2,2.124395,2.085808
2018,Guatemala,31161,2,0.391666,0.383222
2018,Malawi,31161,2,2.936574,2.907763
2018,Democratic Republic of the Congo,31140,2,0.197747,0.194163
2018,Zambia,31120,2,0.636044,0.624271
2018,Rwanda,41020,2,2.675316,3.059646
2018,Malawi,31120,2,1.162172,1.142446
2018,Zimbabwe,41030,2,0.116291,0.114178
2018,Ethiopia,31182,2,0.242184,0.248956
2018,Malawi,31110,2,0.329876,0.35379
2018,Niger,74020,2,0.216632,0.209759
2018,Ethiopia,72010,2,1.41733,1.533431
2018,Tanzania,31191,2,0.59011,0.579391
2018,Democratic Republic of the Congo,31120,2,0.799103,0.79085
2018,Malawi,12240,2,0.501475,0.492367
2018,Zambia,43040,2,0.059011,0.057939
2018,Sudan,74020,2,0.294583,0.289232
2018,Rwanda,31150,2,0.393316,0.386172
2018,Malawi,16010,2,3.161915,3.187597
2018,Zimbabwe,31161,2,0.203176,0.199485
2018,Ethiopia,31130,2,9.560452,9.460908
2018,Kenya,31110,2,0.480188,0.577459
2018,Burkina Faso,11120,2,0.026079,0.025606
2018,Grenada,14015,2,0,0
2018,Paraguay,31220,2,0,0
2018,Marshall Islands,43060,2,0,0
2018,Tajikistan,31130,2,0,0
2018,Bangladesh,14015,2,4.10046,4.253568
2018,Rwanda,31130,2,1.644495,1.712844
2018,Burkina Faso,43060,2,0,0
2018,Tajikistan,43060,2,0,0
2018,Cambodia,43060,2,3.654423,3.794809
2018,Mongolia,16040,2,0,0
2018,"Africa, regional",31193,2,0,0
2018,India,43071,2,0,0
2018,"Bilateral, unspecified",16030,2,0,0
2018,Guatemala,14015,2,0,0
2018,El Salvador,31220,2,0,0
2018,Kiribati,14020,2,0.176334,0.157455
2018,"Africa, regional",31220,2,0,0
2018,"Caribbean & Central America, regional",41010,2,6.360146,6.410902
2018,South Africa,41010,2,0.917829,0.927444
2018,Namibia,31130,2,1.706722,1.71601
2018,Kyrgyzstan,43060,2,0,0
2018,"Asia, regional",15110,2,4.370939,4.552605
2018,"Asia, regional",15111,2,4.19953,4.374072
2018,Brazil,43040,2,0.000192,2e-04
2018,"Bilateral, unspecified",16010,2,0.999908,1.043065
2018,"Bilateral, unspecified",31110,2,14.726359,16.080623
2018,"Bilateral, unspecified",31130,2,11.103089,11.660238
2018,"Caribbean, regional",41010,2,0.805235,0.838123
2018,Uganda,43040,2,2.877047,2.990357
2018,"Asia, regional",14010,2,0.279683,0.291307
2018,"Asia, regional",14015,2,0.097513,0.101566
2018,"Asia, regional",14040,2,0.102646,0.106912
2018,"Asia, regional",22030,2,0.126613,0.131876
2018,"Asia, regional",41010,2,17.477039,18.101968
2018,"Caribbean, regional",12220,2,10.977819,11.434082
2018,"Bilateral, unspecified",32182,2,0.855397,0.890949
2018,"Bilateral, unspecified",11110,2,1.915969,1.995601
2018,Sudan,14015,2,0.816071,0.849988
2018,Sudan,14030,2,3.322516,3.460606
2018,India,43040,2,4.076939,4.148405
2018,"Africa, regional",74020,2,1.670081,1.738326
2018,"Oceania, regional",24040,2,2.921487,3.042911
2018,"Oceania, regional",41010,2,21.868479,22.026452
2018,India,99810,2,0.197743,0.205962
2018,South Sudan,31120,2,1.960448,2.041929
2018,South Sudan,52010,2,3.558222,3.70611
2018,South Sudan,31191,2,0.043187,0.044982
2018,"Bilateral, unspecified",91010,2,0.134546,0.140138
