year,recipient_name,usd_disbursement,usd_disbursement_deflated
2018,Jamaica,133.040794,138.699561
2018,"Far East Asia, regional",197.837168,209.819447
2018,Niue,18.915389,19.530797
2018,Montenegro,203.402136,202.464057
2018,Palau,83.95463,92.017093
2018,"America, regional",781.651917,815.165688000001
2018,Guyana,123.603609,128.235363
2018,Suriname,18.209459,18.494039
2018,Marshall Islands,56.476391,62.626433
2018,Kiribati,80.226445,80.334596
2018,Fiji,116.68253,121.337345
2018,"Oceania, regional",354.52051,369.419645
2018,Cook Islands,34.865399,35.926194
2018,Nauru,37.523044,40.308265
2018,Belize,38.68831,39.930993
2018,Micronesia,88.852138,95.19823
2018,Antigua and Barbuda,15.408123,16.007392
2018,Tuvalu,27.479163,28.448721
2018,Tokelau,27.102633,28.230745
2018,States Ex-Yugoslavia unspecified,5.531109,5.738151
2018,"Central Asia, regional",158.796547,164.76496
2018,"South America, regional",388.80786,395.101865
2018,"North of Sahara, regional",430.070832,425.282042
2018,"South & Central Asia, regional",183.862845,195.725406
2018,"Caribbean, regional",278.637178,301.608039
2018,Montserrat,41.608905,42.971096
2018,Saint Helena,67.234933,69.388377
2018,"Middle Africa, regional",15.483544,16.127074
2018,Wallis and Futuna,49.0009830000001,47.7610589999999
2019,Afghanistan,3934.08344100001,4247.33756799999
2019,Nicaragua,447.362253999999,463.290825
2019,Samoa,122.668801,123.625971
2019,"Bilateral, unspecified",38267.6916710003,40715.1913150001
2019,Haiti,637.205515000002,689.829239999998
2019,Mexico,723.183548999999,763.825366
2019,Democratic Republic of the Congo,2116.601525,2251.785051
2019,Sierra Leone,584.626871,615.034986000001
2019,Bolivia,800.788060000001,830.439184000001
2019,Central African Republic,449.88948,470.250368
2019,"America, regional",634.426915999999,683.323353999997
2019,Azerbaijan,252.884594,253.693293
2019,Armenia,613.605087999999,628.086835999999
2019,Yemen,1392.080355,1469.522249
2019,Syrian Arab Republic,961.544843,963.465011
2019,Guinea,593.914098,620.365378000001
2019,China (People's Republic of),1378.617551,1435.351362
2019,Congo,192.06438,197.494899
2019,Kosovo,356.948983,374.522908
2019,Serbia,966.019646,995.51398
2019,Comoros,80.9873419999999,83.1619150000001
2019,Angola,202.385876,214.251414
2019,Bosnia and Herzegovina,664.424755,690.975157000001
2019,Montenegro,157.537846,162.950936
2019,North Macedonia,217.444641,227.468801
2019,Albania,304.409751999999,316.583935000001
2019,Ukraine,1180.566525,1254.310315
2019,"Europe, regional",1155.629755,1203.585097
2019,Moldova,376.783477,395.313382
2019,Uganda,1847.879985,1973.678211
2019,Mozambique,1763.665404,1865.0068
2019,South Africa,1077.772107,1154.093704
2019,Georgia,694.024364000002,726.546088999999
2019,"Central Asia, regional",210.244954,222.508655
2019,Democratic People's Republic of Korea,103.991932,33.204031
2019,Nigeria,2823.227075,3011.770689
2019,Indonesia,1525.501354,1502.809131
2019,Cambodia,1082.900051,1098.455243
2019,Bangladesh,4694.396183,4707.43942
2019,Pakistan,3160.19566999999,3329.263667
2019,India,5710.03813900003,5423.76618
2019,Myanmar,1853.84124599999,1814.711153
2019,Uzbekistan,1245.662369,1201.610885
2019,Turkmenistan,28.701287,29.517463
2019,Tajikistan,399.241478,404.457040000001
2019,Kyrgyzstan,504.685349,424.860985
2019,Cameroon,1297.195927,1343.071189
2019,Kazakhstan,107.486445,111.18879
2019,Mali,1713.801114,1827.616406
2019,"South of Sahara, regional",3157.044691,3339.45340399999
2019,Iraq,1275.631333,1304.91301
2019,Mongolia,394.245288,384.638124999999
2019,Türkiye,1689.855961,1723.35465
2019,Belize,50.374768,53.16211
2019,Belarus,216.773791,219.381837
2019,"Asia, regional",1082.995588,1137.141165
2019,Viet Nam,2304.934387,2281.232811
2019,Philippines,1471.617076,1341.92244600001
2019,Lao People's Democratic Republic,698.551652,720.712582000001
2019,West Bank and Gaza Strip,1847.789745,1953.742682
2019,Jordan,2490.52099399999,2667.856032
2019,Iran,167.123657,170.022525
2019,Brazil,598.219670999999,614.09517
2019,Cuba,514.100428999999,161.946383
2019,Costa Rica,77.46032,73.93476
2019,Zambia,972.596003999999,1041.132237
2019,Tanzania,2205.703238,2367.845302
2019,Namibia,185.519092,195.438246
2019,Zimbabwe,694.884033999999,742.574424000001
2019,Malawi,1115.603077,1198.983114
2019,Madagascar,729.337123999996,756.589376999998
2019,Liberia,577.663564,617.901553
2019,Kenya,3338.659095,3513.580001
2019,Antigua and Barbuda,24.119243,25.070303
2019,Egypt,3045.965691,3114.07480400001
2019,Ethiopia,4055.38122100001,4323.787749
2019,Lebanon,842.322149999997,895.158245999999
2019,Maldives,111.636065,115.7996
2019,Argentina,294.151133,309.383813
2019,Venezuela,127.713339,133.343629
2019,Colombia,902.211457999999,995.745137999999
2019,Morocco,1654.441585,1701.45121600001
2019,Sudan,1045.608589,1100.742837
2019,Tunisia,1540.102991,1567.099563
2019,Ghana,1064.403812,1131.77493
2019,Malaysia,106.924609,104.068829
2019,Nepal,1360.195415,1441.512904
2019,Lesotho,156.67439,168.981098
2019,Mauritania,476.143636,498.292165000001
2019,Chad,510.538379,532.393763000001
2019,Benin,673.730419999999,715.657887
2019,Bhutan,185.782464,191.492958
2019,Kiribati,57.609285,60.105773
2019,Burkina Faso,1172.680276,1236.78413
2019,Djibouti,286.429797,291.217991
2019,Côte d'Ivoire,1280.401385,1322.613688
2019,Mauritius,73.1603010000001,75.0086200000001
2019,Niger,1342.788694,1422.597019
2019,Eswatini,89.135125,96.113949
2019,Cabo Verde,179.230716,185.874426
2019,Burundi,545.815589,574.35276
2019,Rwanda,1173.300001,1235.015712
2019,Gambia,227.436665,238.502814
2019,Guinea-Bissau,120.780593,125.22469
2019,Sao Tome and Principe,52.492281,54.500625
2019,Dominican Republic,191.218508,200.417131
2019,Solomon Islands,224.96483,247.760786
2019,Senegal,1545.41533,1623.389385
2019,Grenada,31.411143,33.166929
2019,Eritrea,341.709073,360.249039
2019,Sri Lanka,749.440324999999,742.725695
2019,Guyana,127.240488,147.820174
2019,Paraguay,195.04282,192.534307
2019,Tonga,108.090476,112.466735
2019,Togo,413.138292,430.483926
2019,El Salvador,354.522362,383.160232000001
2019,Honduras,545.048006,577.076009000001
2019,Equatorial Guinea,82.315907,87.031748
2019,Ecuador,519.253542,532.839963
2019,States Ex-Yugoslavia unspecified,12.660552,13.601762
2019,Guatemala,408.485572000001,437.346895
2019,Dominica,68.035372,71.632337
2019,Papua New Guinea,698.859097999999,760.422271000001
2019,Algeria,231.924785,236.515995
2019,South Sudan,781.024701,841.444501000001
2019,Peru,567.819168999998,597.218158
2019,"Africa, regional",3267.63930400001,3442.35002
2019,"Oceania, regional",352.648578999999,379.325943
2019,Panama,84.888159,87.2388110000001
2019,"North of Sahara, regional",115.801838,121.295814
2019,"Eastern Africa, regional",48.869686,49.521712
2019,Thailand,395.375336,361.576787999999
2019,"Caribbean & Central America, regional",429.16916,466.265396
2019,Saint Vincent and the Grenadines,74.854551,78.395957
2019,"South America, regional",269.390555,289.738515
2019,Gabon,161.283749,162.314044
2019,Libya,206.659886,219.437968
2019,Somalia,876.073449999999,939.99067
2019,"South & Central Asia, regional",38.794194,43.42849
2019,"Far East Asia, regional",251.499597000001,269.795557
2019,"South Asia, regional",86.950319,91.6442780000001
2019,"Middle East, regional",673.606513999999,706.294588999999
2019,Jamaica,148.690464,156.915297
2019,Fiji,123.617741,131.325988
2019,"Southern Africa, regional",8.511251,8.724588
2019,Saint Lucia,35.432963,36.672708
2019,Timor-Leste,225.282019,231.972639
2019,Botswana,84.957219,91.040645
2019,Vanuatu,113.962627,122.534228
2019,Suriname,34.056806,35.022642
2019,Tuvalu,36.758305,38.951369
