year,purpose_code,recipient_name,usd_disbursement,usd_disbursement_deflated
2018,16010,Ghana,7.440159,7.828663
2018,16010,Ukraine,46.037055,47.798893
2018,16010,Tanzania,81.0966740000001,84.198771
2018,16010,Zimbabwe,10.146049,10.637905
2018,16010,Kenya,21.104114,21.724431
2018,16010,Serbia,2.664415,2.651504
2018,16010,Mozambique,22.445832,22.967298
2018,16010,Belarus,1.362422,1.367888
2018,16010,Uganda,40.742132,42.341846
2018,16010,Bosnia and Herzegovina,2.574423,2.58578
2018,16010,Guatemala,1.570178,1.736162
2018,16010,Albania,2.517991,2.443543
2018,16010,India,54.66252,55.622155
2018,16010,Armenia,3.24858,3.408426
2018,16010,Bolivia,3.086306,3.08411
2018,16010,"South of Sahara, regional",61.882793,62.796508
2018,16010,Bhutan,1.346711,1.153943
2018,16010,Philippines,151.608706,157.456421
2018,16010,South Sudan,13.733382,14.279577
2018,16010,South Africa,5.693924,5.973204
2018,16010,Brazil,38.222916,39.430886
2018,16010,North Macedonia,4.176821,4.246886
2018,16010,Sri Lanka,4.265614,4.057043
2018,16010,Nepal,14.930137,15.691747
2018,16010,Kosovo,3.466821,3.445867
2018,16010,Iraq,9.260666,9.299181
2018,16010,"Africa, regional",8.273169,8.519136
2018,16010,Georgia,71.004027,74.060556
2018,16010,Ethiopia,166.784185,172.729521
2018,16010,Lesotho,10.8968,11.116736
2018,16010,"Bilateral, unspecified",143.295072,153.828181
2018,16010,Moldova,6.621946,6.934049
2018,16010,Kyrgyzstan,13.850282,13.736171
2018,16010,Ecuador,4.152402,4.119518
2018,16010,West Bank and Gaza Strip,96.96782,98.604635
2018,16010,"Europe, regional",3.724989,3.741378
2018,16010,Namibia,0.152709,0.154126
2018,16010,Egypt,34.352021,36.267416
2018,16010,"Central Asia, regional",0.131618,0.147175
2018,16010,Burkina Faso,16.522532,17.146865
2018,16010,Türkiye,9.675851,9.624699
2018,16010,Sierra Leone,10.888035,11.339078
2018,16010,Colombia,28.756647,32.622534
2018,16010,Nigeria,81.087498,84.395728
2018,16010,Jordan,146.911711,154.318034
2018,16010,Democratic Republic of the Congo,15.095997,15.669747
2018,16010,Vanuatu,0.203136,0.190504
2018,16010,Myanmar,10.501382,10.452865
2018,16010,China (People's Republic of),19.66476,20.744966
2018,16010,Malaysia,1.407924,1.216028
2018,16010,Viet Nam,15.856915,16.367932
2018,16010,"Asia, regional",6.898554,7.040565
2018,16010,Côte d'Ivoire,39.864695,41.557618
2018,16010,Tunisia,132.363947,137.665501
2018,16010,Fiji,0.865656,0.876914
2018,16010,Pakistan,62.939863,65.14515
2018,16010,Paraguay,8.611476,8.704585
2018,16010,Guinea,7.81132,8.083874
2018,16010,Lebanon,9.338206,9.577081
2018,16010,Lao People's Democratic Republic,4.997975,5.21215
2018,16010,Solomon Islands,0.542109,0.545786
2018,16010,Cambodia,9.162642,8.967404
2018,16010,Zambia,20.7827,21.822177
2018,16010,Peru,3.432687,3.481496
2018,16010,Algeria,0.186414,0.19038
2018,16010,Thailand,3.710362,3.34065
2018,16010,Benin,0.912576,0.918392
2018,16010,Dominica,0.030892,0.02842
2018,16010,Bangladesh,176.477189,183.273128
2018,16010,Azerbaijan,1.909713,1.918491
2018,16010,Indonesia,100.770311,104.363651
2018,16010,Tajikistan,15.239029,15.080746
2018,16010,Malawi,39.646486,40.659937
2018,16010,Senegal,16.872651,17.663606
2018,16010,Morocco,18.524535,18.478956
2018,16010,Mongolia,55.830127,57.755451
2018,16010,Eswatini,2.122336,2.134748
2018,16010,Dominican Republic,25.21122,26.209415
2018,16010,Honduras,101.412039,105.543937
2018,16010,El Salvador,13.570622,14.061322
2018,16010,Botswana,0.453886,0.454983
2018,16010,Maldives,0.162096,0.164869
2018,16010,"Far East Asia, regional",4.604705,4.333612
2018,16010,Mauritius,0.130933,0.133657
2018,16010,Afghanistan,13.930607,15.293007
2018,16010,Jamaica,22.308752,23.381361
2018,16010,Timor-Leste,3.408347,3.055925
2018,16010,Papua New Guinea,17.742976,18.620993
2018,16010,Djibouti,2.732822,2.79652
2018,16010,Rwanda,8.151804,8.352152
2018,16010,Cuba,1.295133,1.301424
2018,16010,Marshall Islands,0.059401,0.064765
2018,16010,Cameroon,33.862634,35.166847
2018,16010,Palau,0.013465,0.011499
2018,16010,Sudan,8.750205,8.796349
2018,16010,Venezuela,0.179673,0.175384
2018,16010,Liberia,6.497102,6.687044
2018,16010,Saint Lucia,0.056664,0.04962
2018,16010,Iran,0.572722,0.520209
2018,16010,Nicaragua,1.013639,1.042827
2018,16010,Cabo Verde,0.704837,0.690517
2018,16010,Turkmenistan,0.050373,0.051582
2018,16010,Kazakhstan,0.751522,0.7474
2018,16010,Tonga,0.033984,0.029023
2018,16010,Samoa,0.146326,0.140798
2018,16010,Mexico,731.123794,760.939405
2018,16010,Costa Rica,0.582519,0.536825
2018,16010,Guinea-Bissau,0.584683,0.597658
2018,16010,Eritrea,0.458679,0.463357
2018,16010,Uzbekistan,101.093284,105.195478
2018,16010,Panama,27.519208,28.73966
2018,16010,Angola,10.651303,10.957494
2018,16010,Gambia,1.978327,2.12579
2018,16010,Antigua and Barbuda,0.021868,0.018677
2018,16010,Suriname,1.427016,1.450506
2018,16010,Burundi,5.825395,6.033916
2018,16010,Niger,5.653744,5.883999
2018,16010,Argentina,882.587593,918.551403
2018,16010,Madagascar,29.160995,30.379433
2018,16010,Cook Islands,0.001974,0.001685
2018,16010,Saint Vincent and the Grenadines,0.100507,0.101447
2018,16010,Gabon,0.136888,0.134419
2018,16010,Niue,0.006377,0.006411
2018,16010,Nauru,0.002047,0.001747
2018,16010,Mali,24.258603,25.287165
2018,16010,Guyana,0.518941,0.539675
2018,16010,"South Asia, regional",0.529327,0.551974
2018,16010,Haiti,21.927942,23.189339
2018,16010,Sao Tome and Principe,0.788106,0.812821
2018,16010,Micronesia,0.069751,0.073604
2018,16010,Yemen,23.466332,24.355372
2018,16010,Montenegro,0.461413,0.448784
2018,16010,Syrian Arab Republic,8.537431,7.779846
2018,16010,Kiribati,0.045474,0.038839
2018,16010,Mauritania,7.082313,7.368523
2018,16010,Tuvalu,0.001413,0.001206
2018,16010,Somalia,7.672656,7.698434
2018,16010,Tokelau,0.001413,0.001206
2018,16010,"Middle East, regional",1.354005,1.457028
2018,16010,"Caribbean, regional",8.610945,9.709148
2018,16010,Montserrat,1.118736,1.165234
2018,16010,"South & Central Asia, regional",0.126964,0.132241
2018,16010,"South America, regional",9.596944,9.494832
2018,16010,Saint Helena,4.157249,4.330034
2018,16010,Libya,0.339363,0.324338
2018,16010,Comoros,1.356331,1.394712
2018,16010,Wallis and Futuna,0.17849,0.173695
2018,16010,"Oceania, regional",0.03583,0.039417
2018,16010,Togo,7.70395,8.011881
2018,16010,"America, regional",4.141552,4.207638
2018,16010,Chad,6.408863,6.661952
2018,16010,Equatorial Guinea,0.018892,0.019663
2018,16010,"Caribbean & Central America, regional",0.968164,0.965935
2018,16010,Congo,5.170325,5.366018
2018,16010,Central African Republic,3.756685,3.895721
2018,16010,States Ex-Yugoslavia unspecified,0.000679,0.000685
2018,16010,Belize,0.026602,0.027687
2018,16010,"North of Sahara, regional",2.313431,2.284573
2018,16010,Grenada,0.363683,0.378527
2019,16010,Congo,7.290702,7.706672
2019,16010,"Bilateral, unspecified",159.931172,160.331819
2019,16010,India,45.597884,47.547822
2019,16010,Mozambique,35.325077,37.150732
2019,16010,Ukraine,33.179768,35.122418
2019,16010,Georgia,8.060119,8.63387
2019,16010,Peru,5.067244,5.287939
2019,16010,Zimbabwe,20.839688,22.195787
2019,16010,Nigeria,170.788106,180.578626
2019,16010,Moldova,3.476159,3.76484
2019,16010,Ghana,27.444937,29.122752
2019,16010,Kenya,42.249574,44.454295
2019,16010,Uganda,58.444267,62.020459
2019,16010,Belarus,1.26212,1.339113
2019,16010,Tanzania,21.125373,22.333537
2019,16010,Lebanon,11.239549,11.549826
2019,16010,Jordan,177.539651,187.859362
2019,16010,Ethiopia,331.125647,350.478964
2019,16010,Bolivia,4.046294,4.153772
2019,16010,Albania,16.04777,16.776363
2019,16010,Türkiye,4.658755,4.728012
2019,16010,Tunisia,1.952572,1.865799
2019,16010,Bosnia and Herzegovina,2.189388,2.291707
2019,16010,Brazil,66.46589,70.10274
2019,16010,Senegal,14.181808,15.122477
2019,16010,Philippines,151.283192,159.890691
2019,16010,South Sudan,0.843275,0.946088
2019,16010,Armenia,4.101647,4.358378
2019,16010,West Bank and Gaza Strip,62.812676,64.311125
2019,16010,North Macedonia,37.022107,39.19501
2019,16010,Viet Nam,17.065827,17.259112
2019,16010,Myanmar,11.060297,10.086664
2019,16010,Sierra Leone,5.414161,5.763832
2019,16010,"Africa, regional",4.965856,5.272785
2019,16010,Egypt,25.398778,26.769945
2019,16010,Democratic Republic of the Congo,10.411499,11.020425
2019,16010,"South of Sahara, regional",43.9788,46.382796
2019,16010,Serbia,2.963068,3.06163
2019,16010,"Southern Africa, regional",0.144965,0.153985
2019,16010,Nepal,15.802555,16.044935
2019,16010,"Europe, regional",3.324334,3.430814
2019,16010,Lesotho,7.086809,7.373287
2019,16010,Guatemala,6.564256,7.286279
2019,16010,Mali,15.145098,16.108532
2019,16010,Liberia,9.275126,10.002638
2019,16010,Zambia,26.845896,28.505512
2019,16010,China (People's Republic of),14.11339,14.979746
2019,16010,Burkina Faso,15.601296,16.437386
2019,16010,Sudan,8.286742,8.376216
2019,16010,Bangladesh,337.25463,356.276814
2019,16010,Kyrgyzstan,3.569851,3.653343
2019,16010,Guinea-Bissau,2.723254,2.881173
2019,16010,Mongolia,4.076658,3.865783
2019,16010,South Africa,5.275423,5.553198
2019,16010,Somalia,14.908806,16.04222
2019,16010,Tajikistan,4.089928,4.243296
2019,16010,"America, regional",4.221157,4.395432
2019,16010,El Salvador,6.472257,6.786842
2019,16010,Rwanda,8.422775,8.526952
2019,16010,"Caribbean & Central America, regional",2.182474,2.258481
2019,16010,"South Asia, regional",0.424496,0.454207
2019,16010,Honduras,76.95102,81.453192
2019,16010,Iraq,13.027608,13.140382
2019,16010,Indonesia,69.66791,72.46076
2019,16010,Malawi,74.356857,77.755074
2019,16010,Kosovo,0.712794,0.740628
2019,16010,Cuba,1.176396,1.183676
2019,16010,Democratic People's Republic of Korea,0,0
2019,16010,"Asia, regional",7.09109,7.352689
2019,16010,Togo,11.341804,11.991637
2019,16010,Argentina,494.949432,524.185412
2019,16010,"Middle East, regional",1.287879,1.345326
2019,16010,Nicaragua,0.542808,0.551476
2019,16010,Cameroon,28.260375,29.741447
2019,16010,Namibia,0.621381,0.598184
2019,16010,Malaysia,2.044005,1.766249
2019,16010,Thailand,3.889185,3.6798
2019,16010,Eswatini,2.067512,2.113692
2019,16010,"Far East Asia, regional",2.282472,2.354074
2019,16010,Cambodia,12.193642,12.331142
2019,16010,Mexico,35.191654,37.24213
2019,16010,Sri Lanka,2.700483,2.57918
2019,16010,Kazakhstan,0.820117,0.837081
2019,16010,Colombia,166.879269,178.070527
2019,16010,Burundi,3.680678,3.882442
2019,16010,Pakistan,368.504659,390.24345
2019,16010,Morocco,15.379085,16.127072
2019,16010,Chad,7.899411,8.361001
2019,16010,"Central Asia, regional",0.28744,0.296771
2019,16010,Fiji,1.148068,1.187393
2019,16010,"South America, regional",11.172308,11.49165
2019,16010,Lao People's Democratic Republic,5.135109,5.428533
2019,16010,Eritrea,0.600043,0.62721
2019,16010,Niger,8.820787,9.19237
2019,16010,Algeria,0.375624,0.385463
2019,16010,Afghanistan,6.686608,7.137392
2019,16010,Côte d'Ivoire,43.234232,45.775065
2019,16010,Haiti,13.386154,14.521697
2019,16010,Timor-Leste,1.484189,1.548056
2019,16010,Benin,15.461939,16.347823
2019,16010,Comoros,0.37508,0.395644
2019,16010,Paraguay,14.607338,15.344576
2019,16010,Jamaica,12.897831,13.6019
2019,16010,Dominican Republic,28.435104,30.082564
2019,16010,Venezuela,0.371431,0.370589
2019,16010,Iran,0.84043,0.805062
2019,16010,Saint Lucia,0.144998,0.123675
2019,16010,Syrian Arab Republic,9.032846,7.827221
2019,16010,Madagascar,30.86961,32.69811
2019,16010,Guyana,0.471472,0.498787
2019,16010,Ecuador,94.462093,99.783075
2019,16010,Central African Republic,23.399671,24.321113
2019,16010,Micronesia,0.107338,0.114624
2019,16010,Uzbekistan,171.244917,181.374007
2019,16010,Gabon,28.06299,29.709912
2019,16010,Djibouti,2.08881,2.093716
2019,16010,Costa Rica,0.530702,0.46751
2019,16010,States Ex-Yugoslavia unspecified,0.03692,0.039109
2019,16010,"Caribbean, regional",1.006638,1.03124
2019,16010,Belize,0.277059,0.282701
2019,16010,Suriname,0.590185,0.614155
2019,16010,Yemen,40.419127,43.194725
2019,16010,Cabo Verde,0.781211,0.82825
2019,16010,Montenegro,0.470625,0.470434
2019,16010,Azerbaijan,0.558695,0.590018
2019,16010,Mauritania,7.23546,7.647802
2019,16010,Dominica,0.071866,0.075808
2019,16010,"Oceania, regional",0.194061,0.205568
2019,16010,Kiribati,0.045301,0.038574
2019,16010,Sao Tome and Principe,2.6392,2.795208
2019,16010,Equatorial Guinea,0.025196,0.026583
2019,16010,Botswana,0.577418,0.610996
2019,16010,Marshall Islands,0.257662,0.27036
2019,16010,Gambia,3.054887,3.284883
2019,16010,Guinea,4.190802,4.388089
2019,16010,Turkmenistan,0.034829,0.035243
2019,16010,Panama,2.719972,2.918153
2019,16010,Angola,91.884838,96.961768
2019,16010,Maldives,0.220667,0.195983
2019,16010,Bhutan,0.30373,0.274219
2019,16010,Papua New Guinea,0.265199,0.262048
2019,16010,"Eastern Africa, regional",0.856756,0.960228
2019,16010,Solomon Islands,1.106386,1.159905
2019,16010,Tuvalu,0.062602,0.071231
2019,16010,Vanuatu,0.572363,0.621764
2019,16010,Samoa,0.091646,0.078855
2019,16010,Mauritius,0.099098,0.097987
2019,16010,Saint Helena,4.675618,4.984694
2019,16010,Montserrat,0.883739,0.942156
2019,16010,"South & Central Asia, regional",0.261377,0.278655
2019,16010,Nauru,0.003042,0.002549
2019,16010,Palau,0.015286,0.012808
2019,16010,Tonga,0.515477,0.537426
2019,16010,Saint Vincent and the Grenadines,0.411451,0.432111
2019,16010,Niue,0.003042,0.002549
2019,16010,Cook Islands,0.007529,0.006309
2019,16010,Tokelau,0.001596,0.001337
2019,16010,Antigua and Barbuda,0.002892,0.002423
2019,16010,Wallis and Futuna,0.249561,0.251769
2019,16010,Grenada,0.24603,0.260618
2019,16010,"Central America, regional",0.089873,0.10194
2020,16010,"Bilateral, unspecified",138.70103,146.704581
2020,16010,Togo,46.895406,47.972457
2020,16010,Azerbaijan,0.613037,0.628424
2020,16010,South Sudan,6.124779,6.283823
2020,16010,Ethiopia,250.96983,256.726631
2020,16010,Uganda,85.010808,86.917897
2020,16010,Jordan,174.592846,178.850244
2020,16010,Colombia,582.618744,599.941534
2020,16010,Tanzania,47.918516,52.73362
2020,16010,Bolivia,687.543682,706.641712
