year,purpose_code,recipient_name,usd_disbursement,usd_disbursement_deflated,climate_adaptation
2018,16010,"Central Asia, regional",0.023191,0.022826,"Blank, 0, or 1"
2018,16010,Burkina Faso,2.09063,2.134849,"Blank, 0, or 1"
2018,16010,Türkiye,8.314313,8.287424,"Blank, 0, or 1"
2018,16010,Sierra Leone,5.594104,5.829349,"Blank, 0, or 1"
2018,16010,Colombia,27.237244,31.083869,"Blank, 0, or 1"
2018,16010,Nigeria,6.338571,6.592426,"Blank, 0, or 1"
2018,16010,Jordan,29.284846,31.898245,"Blank, 0, or 1"
2018,16010,Democratic Republic of the Congo,5.150456,5.319632,"Blank, 0, or 1"
2018,16010,Myanmar,6.797255,6.994058,"Blank, 0, or 1"
2018,16010,Malaysia,0.678542,0.582163,"Blank, 0, or 1"
2018,16010,"Asia, regional",5.894995,5.996047,"Blank, 0, or 1"
2018,16010,Côte d'Ivoire,0.210481,0.223396,"Blank, 0, or 1"
2018,16010,Fiji,0.170799,0.180995,"Blank, 0, or 1"
2018,16010,Paraguay,4.411016,4.363227,"Blank, 0, or 1"
2018,16010,Lebanon,8.109086,8.238016,"Blank, 0, or 1"
2018,16010,Viet Nam,10.421307,10.964319,"Blank, 0, or 1"
2018,16010,Thailand,1.862256,1.751283,"Blank, 0, or 1"
2018,16010,Dominica,0.019196,0.016395,"Blank, 0, or 1"
2018,16010,Bangladesh,21.570218,22.123972,"Blank, 0, or 1"
2018,16010,Cambodia,6.378825,6.1172,"Blank, 0, or 1"
2018,16010,Senegal,4.702257,5.036522,"Blank, 0, or 1"
2018,16010,Morocco,14.333808,14.170184,"Blank, 0, or 1"
2018,16010,Pakistan,47.098541,48.659777,"Blank, 0, or 1"
2018,16010,Mongolia,5.112978,5.024757,"Blank, 0, or 1"
2018,16010,Eswatini,1.363605,1.34544,"Blank, 0, or 1"
2018,16010,El Salvador,4.084998,4.189222,"Blank, 0, or 1"
2018,16010,"Far East Asia, regional",3.368219,3.274042,"Blank, 0, or 1"
2018,16010,Botswana,0.164568,0.168928,"Blank, 0, or 1"
2018,16010,Afghanistan,8.661808,9.917654,"Blank, 0, or 1"
2018,16010,Papua New Guinea,5.769282,6.163167,"Blank, 0, or 1"
2018,16010,Lao People's Democratic Republic,3.054665,3.246267,"Blank, 0, or 1"
2018,16010,Indonesia,17.44927,17.907167,"Blank, 0, or 1"
2018,16010,Rwanda,5.115036,5.190668,"Blank, 0, or 1"
2018,16010,Djibouti,0.245876,0.209995,"Blank, 0, or 1"
2018,16010,Cuba,1.019296,0.989745,"Blank, 0, or 1"
2018,16010,Cameroon,2.817949,2.867097,"Blank, 0, or 1"
2018,16010,Sudan,8.036025,8.08319,"Blank, 0, or 1"
2018,16010,Iran,0.071134,0.069972,"Blank, 0, or 1"
2018,16010,Marshall Islands,0.05845,0.063953,"Blank, 0, or 1"
2018,16010,Cabo Verde,0.504866,0.483102,"Blank, 0, or 1"
2018,16010,Tajikistan,14.69837,14.521497,"Blank, 0, or 1"
2018,16010,Timor-Leste,2.946157,2.598166,"Blank, 0, or 1"
2018,16010,Benin,0.349601,0.351929,"Blank, 0, or 1"
2018,16010,Vanuatu,0.117631,0.114503,"Blank, 0, or 1"
2018,16010,Dominican Republic,1.518869,1.581358,"Blank, 0, or 1"
2018,16010,Panama,1.115215,1.26075,"Blank, 0, or 1"
2018,16010,Kazakhstan,0.358756,0.343911,"Blank, 0, or 1"
2018,16010,Saint Lucia,0.031765,0.027129,"Blank, 0, or 1"
2018,16010,Antigua and Barbuda,0.018916,0.016155,"Blank, 0, or 1"
2018,16010,Venezuela,0.069542,0.061442,"Blank, 0, or 1"
2018,16010,Peru,1.014981,1.019547,"Blank, 0, or 1"
2018,16010,Solomon Islands,0.399078,0.413273,"Blank, 0, or 1"
2018,16010,Tonga,0.001413,0.001206,"Blank, 0, or 1"
2018,16010,Jamaica,2.763795,3.118769,"Blank, 0, or 1"
2018,16010,Argentina,0.613872,0.617746,"Blank, 0, or 1"
2018,16010,Cook Islands,0.001413,0.001206,"Blank, 0, or 1"
2018,16010,Palau,0.01131,0.009659,"Blank, 0, or 1"
2018,16010,Guinea,0.35745,0.344087,"Blank, 0, or 1"
2018,16010,Malawi,16.536437,16.723898,"Blank, 0, or 1"
2018,16010,Honduras,0.903883,0.935195,"Blank, 0, or 1"
2018,16010,Liberia,3.986307,4.074546,"Blank, 0, or 1"
2018,16010,Costa Rica,0.103466,0.089253,"Blank, 0, or 1"
2018,16010,Angola,2.319848,2.286209,"Blank, 0, or 1"
2018,16010,Algeria,0.005662,0.005033,"Blank, 0, or 1"
2018,16010,Eritrea,0.240696,0.236655,"Blank, 0, or 1"
2018,16010,Niger,0.199534,0.217234,"Blank, 0, or 1"
2018,16010,China (People's Republic of),6.042497,6.474159,"Blank, 0, or 1"
2018,16010,Tunisia,0.290916,0.327723,"Blank, 0, or 1"
2018,16010,Samoa,0.094804,0.096795,"Blank, 0, or 1"
2018,16010,Haiti,8.852227,9.583228,"Blank, 0, or 1"
2018,16010,Sao Tome and Principe,0.054546,0.049337,"Blank, 0, or 1"
2018,16010,Maldives,0.013863,0.01184,"Blank, 0, or 1"
2018,16010,Yemen,21.982294,22.811273,"Blank, 0, or 1"
2018,16010,Mexico,2.798845,2.84394,"Blank, 0, or 1"
2018,16010,Montenegro,0.342035,0.324757,"Blank, 0, or 1"
2018,16010,Guinea-Bissau,0.215161,0.213145,"Blank, 0, or 1"
2018,16010,Syrian Arab Republic,5.959486,5.096753,"Blank, 0, or 1"
2018,16010,Kiribati,0.001422,0.001216,"Blank, 0, or 1"
2018,16010,Micronesia,0.066156,0.070534,"Blank, 0, or 1"
2018,16010,Tuvalu,0.001413,0.001206,"Blank, 0, or 1"
2018,16010,Nauru,0.001413,0.001206,"Blank, 0, or 1"
2018,16010,Uzbekistan,0.034754,0.030445,"Blank, 0, or 1"
2018,16010,Nicaragua,0.845465,0.891185,"Blank, 0, or 1"
2018,16010,Tokelau,0.001413,0.001206,"Blank, 0, or 1"
2018,16010,Niue,0.005336,0.005522,"Blank, 0, or 1"
2018,16010,Saint Vincent and the Grenadines,0.013664,0.01167,"Blank, 0, or 1"
2018,16010,Mauritania,0.009607,0.008205,"Blank, 0, or 1"
2018,16010,Zambia,7.648377,8.153144,"Blank, 0, or 1"
2018,16010,Montserrat,1.118736,1.165234,"Blank, 0, or 1"
2018,16010,"South & Central Asia, regional",0.126964,0.132241,"Blank, 0, or 1"
2018,16010,Somalia,7.430365,7.446432,"Blank, 0, or 1"
2018,16010,"South America, regional",9.496201,9.392183,"Blank, 0, or 1"
2018,16010,Saint Helena,4.157249,4.330034,"Blank, 0, or 1"
2018,16010,Wallis and Futuna,0.17849,0.173695,"Blank, 0, or 1"
2018,16010,"Oceania, regional",0.03583,0.039417,"Blank, 0, or 1"
2018,16010,Suriname,1.425178,1.448936,"Blank, 0, or 1"
2018,16010,Turkmenistan,0.004607,0.00456,"Blank, 0, or 1"
2018,16010,"America, regional",2.806761,2.818371,"Blank, 0, or 1"
2018,16010,Mali,0.712049,0.788392,"Blank, 0, or 1"
2018,16010,"Middle East, regional",0.594561,0.615569,"Blank, 0, or 1"
2018,16010,Togo,0.488824,0.515142,"Blank, 0, or 1"
2018,16010,Guyana,0.002665,0.003144,"Blank, 0, or 1"
2018,16010,Madagascar,1.28529,1.412573,"Blank, 0, or 1"
2018,16010,Mauritius,0.026033,0.024925,"Blank, 0, or 1"
2018,16010,Libya,0.314363,0.300197,"Blank, 0, or 1"
2018,16010,Chad,0.167771,0.166631,"Blank, 0, or 1"
2018,16010,Congo,0.2352,0.232179,"Blank, 0, or 1"
2018,16010,"North of Sahara, regional",2.313431,2.284573,"Blank, 0, or 1"
2018,16010,"South Asia, regional",0.012615,0.013144,"Blank, 0, or 1"
2018,16010,"Caribbean & Central America, regional",0.786463,0.776817,"Blank, 0, or 1"
2018,16010,"Caribbean, regional",8.610945,9.709148,"Blank, 0, or 1"
2018,16010,Azerbaijan,1.188917,1.174336,"Blank, 0, or 1"
2018,16010,Gambia,0.652603,0.746023,"Blank, 0, or 1"
2018,16010,Central African Republic,0.263885,0.260648,"Blank, 0, or 1"
2018,16010,Gabon,0.011271,0.011133,"Blank, 0, or 1"
2018,16010,Burundi,0.83081,0.835929,"Blank, 0, or 1"
2019,16010,Congo,0.384215,0.390764,"Blank, 0, or 1"
2019,16010,"Bilateral, unspecified",119.212744,128.184196,"Blank, 0, or 1"
2019,16010,India,15.364184,15.555108,"Blank, 0, or 1"
2019,16010,Mozambique,19.397525,19.713688,"Blank, 0, or 1"
2019,16010,Ukraine,4.055841,4.280711,"Blank, 0, or 1"
2019,16010,Georgia,3.245273,3.543451,"Blank, 0, or 1"
2019,16010,Peru,1.013552,1.109477,"Blank, 0, or 1"
2019,16010,Zimbabwe,4.428986,4.813045,"Blank, 0, or 1"
2019,16010,Nigeria,7.322749,7.465757,"Blank, 0, or 1"
2019,16010,Moldova,3.277768,3.557471,"Blank, 0, or 1"
2019,16010,Ghana,14.518092,15.452044,"Blank, 0, or 1"
2019,16010,Kenya,19.493115,20.560075,"Blank, 0, or 1"
2019,16010,Uganda,21.190784,22.560007,"Blank, 0, or 1"
2019,16010,Belarus,1.143929,1.213292,"Blank, 0, or 1"
2019,16010,Tanzania,15.8106,16.763927,"Blank, 0, or 1"
2019,16010,Lebanon,10.334326,10.591562,"Blank, 0, or 1"
2019,16010,Jordan,16.259069,17.074527,"Blank, 0, or 1"
2019,16010,Ethiopia,51.341745,54.132448,"Blank, 0, or 1"
2019,16010,Bolivia,1.628719,1.627226,"Blank, 0, or 1"
2019,16010,Albania,1.860371,1.752452,"Blank, 0, or 1"
2019,16010,Türkiye,3.889798,4.077778,"Blank, 0, or 1"
2019,16010,Tunisia,1.063437,1.062756,"Blank, 0, or 1"
2019,16010,Bosnia and Herzegovina,1.650751,1.733551,"Blank, 0, or 1"
2019,16010,Brazil,2.825713,2.779837,"Blank, 0, or 1"
2019,16010,Senegal,2.949926,3.245501,"Blank, 0, or 1"
2019,16010,Philippines,2.371949,2.343779,"Blank, 0, or 1"
2019,16010,South Sudan,0.621768,0.713687,"Blank, 0, or 1"
2019,16010,Armenia,2.080208,2.220647,"Blank, 0, or 1"
2019,16010,West Bank and Gaza Strip,60.637041,62.097103,"Blank, 0, or 1"
2019,16010,North Macedonia,0.577278,0.595874,"Blank, 0, or 1"
2019,16010,Viet Nam,11.817907,12.486853,"Blank, 0, or 1"
2019,16010,Myanmar,7.441096,6.743451,"Blank, 0, or 1"
2019,16010,Sierra Leone,1.232678,1.335643,"Blank, 0, or 1"
2019,16010,"Africa, regional",2.763633,2.930222,"Blank, 0, or 1"
2019,16010,Egypt,7.227379,7.580627,"Blank, 0, or 1"
2019,16010,Democratic Republic of the Congo,2.778435,2.943488,"Blank, 0, or 1"
2019,16010,"South of Sahara, regional",43.028391,45.35813,"Blank, 0, or 1"
2019,16010,Serbia,1.466674,1.513936,"Blank, 0, or 1"
2019,16010,"Southern Africa, regional",0.041789,0.04332,"Blank, 0, or 1"
2019,16010,Nepal,14.35771,14.606839,"Blank, 0, or 1"
2019,16010,"Europe, regional",2.165089,2.225643,"Blank, 0, or 1"
2019,16010,Lesotho,3.696197,3.781946,"Blank, 0, or 1"
2019,16010,Guatemala,1.25381,1.333565,"Blank, 0, or 1"
2019,16010,Mali,4.602809,4.942957,"Blank, 0, or 1"
2019,16010,Liberia,7.361518,7.977238,"Blank, 0, or 1"
2019,16010,Zambia,13.280164,14.145713,"Blank, 0, or 1"
2019,16010,China (People's Republic of),5.009238,5.333662,"Blank, 0, or 1"
2019,16010,Burkina Faso,2.497097,2.555012,"Blank, 0, or 1"
2019,16010,Sudan,7.276913,7.32713,"Blank, 0, or 1"
2019,16010,Bangladesh,14.264746,14.230337,"Blank, 0, or 1"
2019,16010,Kyrgyzstan,2.799188,2.851673,"Blank, 0, or 1"
2019,16010,Guinea-Bissau,0.166013,0.172301,"Blank, 0, or 1"
2019,16010,Mongolia,2.403476,2.203062,"Blank, 0, or 1"
2019,16010,South Africa,4.867118,5.134452,"Blank, 0, or 1"
2019,16010,Somalia,14.442466,15.55271,"Blank, 0, or 1"
2019,16010,Tajikistan,2.016076,2.052268,"Blank, 0, or 1"
2019,16010,"America, regional",2.856393,2.962666,"Blank, 0, or 1"
2019,16010,El Salvador,0.884808,0.872309,"Blank, 0, or 1"
2019,16010,Rwanda,4.055232,4.019308,"Blank, 0, or 1"
2019,16010,"Caribbean & Central America, regional",2.041634,2.10929,"Blank, 0, or 1"
2019,16010,"South Asia, regional",0,0,"Blank, 0, or 1"
