year,recipient_name,usd_disbursement,usd_disbursement_deflated
2018,Afghanistan,3863.440006,4060.994587
2018,"Africa, regional",3314.84934,3439.528373
2018,Kosovo,355.481568999999,364.200433
2018,Democratic Republic of the Congo,2667.351538,2804.462829
2018,"Bilateral, unspecified",43371.7783749997,45302.3418509998
2018,Cambodia,898.121327000002,895.423571
2018,Kenya,2984.761909,3137.99417199998
2018,Brazil,723.579924,736.747744
2018,Iraq,2405.27637,2437.081375
2018,Tanzania,2681.084262,2831.623337
2018,Paraguay,222.364166,220.671277
2018,Cameroon,1266.676642,1291.950824
2018,Georgia,744.834396,757.790607999999
2018,Ghana,1265.802088,1324.401085
2018,South Africa,1158.22432,1252.584541
2018,Solomon Islands,202.735612,212.573951
2018,Jordan,2804.253307,3025.219245
2018,Lebanon,1579.938333,1654.451775
2018,West Bank and Gaza Strip,2305.290946,2401.41746599999
2018,Syrian Arab Republic,10007.617231,9946.462199
2018,Albania,466.076456,468.608748
2018,Moldova,345.043333,354.316057000001
2018,Burundi,481.678190999999,499.396975999999
2018,Central African Republic,661.555744,683.039800999999
2018,Chad,898.120928,926.363685
2018,Comoros,96.864809,97.9405540000001
2018,Congo,160.152736,159.818788
2018,Benin,633.085165000001,653.588966
2018,Ethiopia,5105.42516100001,5367.48340899999
2018,Gambia,259.393902,265.40663
2018,Guinea,684.819222,702.603131
2018,Guinea-Bissau,158.482589,162.682159
2018,Côte d'Ivoire,1275.310983,1310.225354
2018,Lesotho,188.131249,204.127513
2018,Liberia,602.565576,645.104134999999
2018,Madagascar,813.159903,829.378333000001
2018,Malawi,1349.548767,1454.468398
2018,Mali,1651.53313,1728.90212199999
2018,Mauritania,555.218867000001,569.937571
2018,Mozambique,1975.976034,2068.041167
2018,Bangladesh,5111.044667,5096.19556600001
2018,Niger,1345.160569,1396.948314
2018,Rwanda,1144.156871,1189.207964
2018,Senegal,1122.366339,1161.452077
2018,Sierra Leone,549.276616000001,569.730899000001
2018,Djibouti,208.946347,210.561835
2018,Togo,373.864597999999,378.921269
2018,Burkina Faso,1301.025395,1339.893527
2018,Zambia,1100.924299,1187.654371
2018,Haiti,1039.477176,1113.701195
2018,Nicaragua,439.351981000001,442.554658000001
2018,Dominica,35.627585,36.952782
2018,Grenada,41.449292,43.081736
2018,Yemen,8107.54813000002,8482.43065600002
2018,Armenia,286.570687,273.577924
2018,Maldives,150.849284,156.189668
2018,Nepal,1631.464257,1697.18630399999
2018,Samoa,142.251095,143.559595
2018,Kyrgyzstan,537.648607999999,485.267561
2018,Saint Lucia,16.73593,16.849509
2018,Saint Vincent and the Grenadines,23.297188,23.947681
2018,Sao Tome and Principe,55.143671,55.806422
2018,Eritrea,87.667955,90.477962
2018,"South of Sahara, regional",3182.001005,3285.77553700001
2018,South Sudan,1601.71487,1743.389222
2018,Uganda,2045.200136,2168.362018
2018,Angola,246.271928,254.983766
2018,Botswana,95.1590329999999,102.753442
2018,Zimbabwe,801.999744999999,849.043813
2018,Nigeria,3477.653941,3688.551944
2018,"Middle East, regional",678.802107,698.820121
2018,Algeria,258.475334,254.816944
2018,Egypt,3227.792778,3260.203379
2018,Morocco,1617.406582,1613.934014
2018,"North of Sahara, regional",430.880075,426.084451
2018,Tunisia,1395.246759,1383.775879
2018,"Central Asia, regional",161.178469,167.227336
2018,Tajikistan,449.819885,449.894539
2018,China (People's Republic of),1528.876986,1547.491422
2018,India,5699.45773600002,5456.55909799999
2018,Sri Lanka,776.281857999999,770.995829000001
2018,Iran,178.880921,178.145531
2018,Malaysia,83.723646,82.8146580000001
2018,Philippines,1218.181846,1158.175089
2018,Thailand,417.003612,385.040509
2018,"Far East Asia, regional",208.569956,221.649051
2018,Azerbaijan,232.23741,225.808131
2018,Belarus,123.091381,122.930089
2018,"Europe, regional",1267.981034,1290.000165
2018,Bosnia and Herzegovina,521.401155,528.850516
2018,Montenegro,204.694238,203.788424
2018,Serbia,1493.256182,1501.849689
2018,North Macedonia,251.758116,256.742826
2018,"South America, regional",410.470903,418.003543
2018,Colombia,1916.147544,1969.991986
2018,Costa Rica,126.523145,121.450175
2018,Ecuador,456.23079,453.796622999999
2018,Mexico,673.765091,711.805286
2018,"Caribbean & Central America, regional",387.233524,418.818980999999
2018,Venezuela,149.082532,151.338395
2018,Dominican Republic,159.34264,168.437566
2018,"Asia, regional",1325.120873,1373.061759
2018,Myanmar,1758.037935,1739.325449
2018,Sudan,980.852625999999,1027.628961
2018,Timor-Leste,207.673773,213.408421
2018,Pakistan,2496.62466,2613.888716
2018,Honduras,764.69432,802.765881999999
2018,Indonesia,3243.10578,3226.020648
2018,Mongolia,416.02799,402.743409
2018,Peru,581.317204000002,589.509977
2018,Türkiye,3263.650737,3229.848561
2018,Libya,303.791493,314.558161
2018,Papua New Guinea,843.301274,890.384763000001
2018,Somalia,1578.607494,1665.52376
2018,Viet Nam,2798.458579,2755.67942700001
2018,Guatemala,441.860852000001,473.530912
2018,Eswatini,130.952301,140.980997
2018,Namibia,198.512376,210.36005
2018,Ukraine,1256.662571,1300.260424
2018,Cabo Verde,110.153603,110.177125
2018,Lao People's Democratic Republic,677.486394,679.638152000001
2018,Bolivia,808.979609,828.419654000002
2018,El Salvador,321.042317,338.907519
2018,Mauritius,124.793087,121.518712
2018,Uzbekistan,1132.388824,1127.59778
2018,Cuba,767.580378,405.467754
2018,Gabon,147.003821,143.305814
2018,Kazakhstan,130.382191,130.770316
2018,Democratic People's Republic of Korea,122.412695,66.088415
2018,Turkmenistan,24.726328,24.849841
2018,Bhutan,123.801404,124.70856
2018,Argentina,200.817566,202.548235
2018,Panama,57.69125,58.566128
2018,Equatorial Guinea,10.528565,10.77141
2018,Vanuatu,135.276928,140.778401
2018,Tonga,100.352301,103.339295
2018,"South Asia, regional",90.416264,92.062728
2018,Guyana,124.321424,128.978933
2018,Jamaica,134.377111,140.140134
2018,Niue,18.915389,19.530797
2018,Palau,84.54281,92.657796
2018,"America, regional",831.232078,870.391671
2018,Suriname,20.110574,20.147069
2018,Marshall Islands,57.141443,63.345133
2018,Kiribati,80.377516,80.490617
2018,Fiji,122.172373,127.212263
2018,"Oceania, regional",359.015761,374.205677
2018,Cook Islands,35.164597,36.255344
2018,Nauru,37.531888,40.31747
2018,Belize,38.837345,40.095649
2018,Micronesia,101.419697,109.146921
2018,Antigua and Barbuda,18.064851,18.369221
2018,Tuvalu,27.818142,28.801534
2018,Tokelau,27.213349,28.34601
2018,States Ex-Yugoslavia unspecified,5.620806,5.828545
2018,"South & Central Asia, regional",188.41527,200.300228
2018,"Caribbean, regional",288.160311,311.624889
2018,Montserrat,41.870061,43.243106
2018,Saint Helena,67.234933,69.388377
2018,"Middle Africa, regional",15.483544,16.127074
2018,Wallis and Futuna,49.4657770000001,48.2201529999999
2019,Afghanistan,4383.08248800001,4730.76193899999
2019,Nicaragua,456.672371999999,473.154634
2019,Samoa,134.644168,136.314691
2019,"Bilateral, unspecified",42536.0015600005,45439.2916630001
2019,Haiti,709.302043000002,767.373814999999
2019,Mexico,732.715453999999,774.41178
2019,Democratic Republic of the Congo,2981.55958,3194.79207
2019,Sierra Leone,597.859049,628.773246000001
2019,Bolivia,808.105052000001,838.023800000001
2019,Central African Republic,707.315838,750.509969
2019,"America, regional",738.290748999999,801.093596999997
2019,Azerbaijan,255.36834,256.313053
2019,Armenia,615.020977999999,629.592629999999
2019,Yemen,3834.433051,4091.98984999999
2019,Syrian Arab Republic,10141.611727,10287.527126
2019,Guinea,605.186991,631.826138000001
2019,China (People's Republic of),1389.252653,1446.62334
2019,Congo,214.88301,221.921688
2019,Kosovo,359.103176,376.786082
2019,Serbia,975.070787,1004.926685
2019,Comoros,100.33962,103.655302
2019,Angola,221.802568,234.918705
2019,Bosnia and Herzegovina,692.026479,719.685962000001
2019,Montenegro,158.895823,164.389497
2019,North Macedonia,220.407146,230.611012
2019,Albania,312.564558999999,325.063856000001
2019,Ukraine,1306.141709,1388.018723
2019,"Europe, regional",1195.347473,1245.818135
2019,Moldova,377.581586,396.147037
2019,Uganda,2139.76854,2287.747215
2019,Mozambique,2011.489924,2133.611681
2019,South Africa,1084.631287,1161.536781
2019,Georgia,730.445362000002,763.938855999999
2019,"Central Asia, regional",217.200262,229.646722
2019,Democratic People's Republic of Korea,134.0958,65.769563
2019,Nigeria,3489.282799,3740.219156
2019,Indonesia,1553.917883,1534.075907
2019,Cambodia,1085.560274,1101.262403
