year,purpose_code,recipient_name,usd_disbursement,usd_disbursement_deflated
2018,15110,Indonesia,279.473156,279.046533
2018,15110,India,28.756346,30.092324
2018,15110,Nepal,31.362203,32.286023
2018,15110,Venezuela,0.423085,0.452923
2018,15110,"Asia, regional",24.080483,24.967819
2018,15110,"Middle East, regional",7.221802,7.267034
2018,15110,Mauritania,5.443018,5.26512
2018,15110,Sudan,6.376866,6.634795
2018,15110,"Bilateral, unspecified",245.874355,254.602474
2018,15110,Mauritius,1.177191,1.168886
2018,15110,"Caribbean & Central America, regional",2.708362,2.699524
2018,15110,Peru,29.932317,30.567568
2018,15110,West Bank and Gaza Strip,122.29775,121.923321
2018,15110,Malawi,11.008442,11.356391
2018,15110,"South of Sahara, regional",52.087921,52.883588
2018,15110,Somalia,56.091676,56.705217
2018,15110,Belarus,2.006392,2.087315
2018,15110,Sri Lanka,1.458062,1.597611
2018,15110,Kyrgyzstan,7.481915,7.77364
2018,15110,Sao Tome and Principe,2.830398,2.921931
2018,15110,Jordan,853.587865,971.440996
2018,15110,Thailand,3.348644,3.190839
2018,15110,Haiti,13.172167,13.958524
2018,15110,Kenya,34.944673,36.163541
2018,15110,Comoros,4.782072,4.903313
2018,15110,South Sudan,11.239221,12.637057
2018,15110,Côte d'Ivoire,4.269129,4.358226
2018,15110,Burkina Faso,46.397422,47.798262
2018,15110,China (People's Republic of),5.049058,5.351221
2018,15110,Djibouti,1.082903,1.078265
2018,15110,South Africa,12.348698,12.857965
2018,15110,Guinea,13.809288,14.257811
2018,15110,North Macedonia,25.614074,25.689686
2018,15110,Albania,16.190246,16.81346
2018,15110,Afghanistan,393.183726,421.724926
2018,15110,Moldova,16.658295,16.400654
2018,15110,Tunisia,10.283376,10.668593
2018,15110,Lebanon,7.242498,7.189806
2018,15110,Panama,7.504796,7.811097
2018,15111,Albania,7.810175,7.78131
2018,15111,Bosnia and Herzegovina,42.408098,44.131884
2018,15111,Kosovo,1.311068,1.399424
2018,15111,States Ex-Yugoslavia unspecified,0.057812,0.060156
2018,15111,Moldova,5.946307,6.151717
2018,15111,Montenegro,0.744616,0.758079
2018,15111,Serbia,4.854217,5.000629
2018,15111,Türkiye,0.162503,0.167279
2018,15114,Albania,1.420131,1.396124
2018,15114,Bosnia and Herzegovina,3.036503,3.319991
2018,15114,Kosovo,1.946301,2.000573
2018,15114,States Ex-Yugoslavia unspecified,0.010504,0.010933
2018,15114,Moldova,4.892047,5.069026
2018,15114,Montenegro,0.484566,0.504286
2018,15114,Serbia,1.039562,1.058131
2018,15114,Türkiye,0.013315,0.013631
2018,15110,"South America, regional",3.997395,4.035139
2018,15111,"Bilateral, unspecified",88.301165,94.689832
2018,15114,"Africa, regional",22.417091,22.874845
2018,15110,"Central Asia, regional",5.199739,5.160461
2018,15110,Ethiopia,13.762341,14.482198
2018,15110,Bhutan,1.099037,1.125616
2018,15110,"South & Central Asia, regional",6.036169,5.843785
2018,15111,"Africa, regional",12.96259,13.329244
2018,15114,North Macedonia,0.193314,0.193158
2018,15110,Philippines,323.095506,327.956461
2018,15110,"Europe, regional",84.561951,84.819614
2018,15111,"Europe, regional",9.474133,9.684689
2018,15110,Tanzania,87.840886,90.780816
2018,15114,Ghana,21.377808,22.692317
2018,15111,Mozambique,17.076342,17.371761
2018,15110,Mozambique,13.263845,13.620153
2018,15110,Georgia,114.697294,111.600357
2018,15110,Ghana,10.814634,10.94772
2018,15110,Viet Nam,13.660464,14.026737
2018,15110,Ukraine,36.62487,37.161566
2018,15114,"Bilateral, unspecified",68.484234,71.820777
2018,15110,"Africa, regional",91.355276,91.42364
2018,15110,Brazil,16.67311,17.344832
2018,15110,Bangladesh,82.101353,85.120272
2018,15110,Nicaragua,3.760144,3.808873
2018,15111,Indonesia,832.291799,858.612524
2018,15111,Mali,1.502996,1.746611
2018,15110,Zimbabwe,9.831291,10.078367
2018,15110,Bolivia,1.189703,1.200485
2018,15114,Iran,0.004582,0.003913
2018,15110,Egypt,27.595427,28.206757
2018,15110,Iraq,9.228491,9.162262
2018,15110,Myanmar,20.724523,21.06949
2018,15114,Myanmar,3.172961,3.466163
2018,15110,Argentina,314.202424,327.016807
2018,15111,Azerbaijan,76.407097,79.478127
2018,15110,Marshall Islands,0.542395,0.562951
2018,15110,Cabo Verde,24.579169,25.552171
2018,15114,Jordan,3.220638,3.46316
2018,15110,Fiji,10.100894,10.457961
2018,15110,Pakistan,37.906562,38.648417
2018,15110,Cameroon,221.55719,230.449833
2018,15114,Benin,7.456201,8.062398
2018,15114,Togo,9.510195,9.890346
2018,15111,West Bank and Gaza Strip,2.595634,2.464566
2018,15110,Tonga,0.982764,1.019585
2018,15114,Philippines,2.338913,2.672332
2018,15111,Malaysia,0.014361,0.012967
2018,15110,Timor-Leste,17.293033,18.507506
2018,15110,Uzbekistan,11.378166,10.433241
2018,15110,Morocco,48.045309,47.156864
2018,15114,South Sudan,1.388831,1.192409
2018,15110,Sierra Leone,18.049271,17.010313
2018,15114,Mongolia,1.067571,1.050218
2018,15111,Lao People's Democratic Republic,3.307741,3.317312
2018,15110,Lao People's Democratic Republic,7.117386,7.001363
2018,15110,Cuba,4.648494,4.669563
2018,15110,Mongolia,25.387187,26.177624
2018,15110,Namibia,212.624667,221.279051
2018,15114,Afghanistan,11.761461,12.397423
2018,15110,Mexico,3.61215,3.855308
