year,recipient_name,purpose_code,climate_mitigation,usd_disbursement,usd_disbursement_deflated
2018,Brazil,32110,2,0,0
2018,Honduras,23230,2,5.717198,7.02482
2018,"Bilateral, unspecified",23230,2,3.334402,4.102692
2018,South Africa,23230,2,3.478709,4.207985
2018,"Bilateral, unspecified",23310,2,0,0
2018,"South Asia, regional",23230,2,0,0
2018,Serbia,23240,2,19.132572,19.111937
2018,Egypt,23230,2,22.483003,25.265143
2018,Ukraine,23230,2,6.058164,6.305422
2018,Malaysia,23183,2,0,0
2018,India,23240,2,2.105479,2.093778
2018,"Bilateral, unspecified",24030,2,100.512305,97.718079
2018,Mongolia,23240,2,10.569821,9.907086
2018,Ukraine,23240,2,0,0
2018,China (People's Republic of),23240,2,0.793084,0.818117
2018,Brazil,23230,2,2.99334,3.096674
2018,Kenya,23330,2,0,0
2018,India,14022,2,27.019958,25.892731
2018,Sri Lanka,23330,2,0,0
2018,"South of Sahara, regional",24030,2,15.180948,15.606092
2018,"Africa, regional",24030,2,2.384386,2.331349
2018,"Africa, regional",23210,2,199.746249,220.739097
2018,"South Asia, regional",24030,2,2.86371,2.800011
2018,"South & Central Asia, regional",24030,2,5.1605,5.045712
2018,"South of Sahara, regional",23230,2,7.823441,8.203739
2018,Rwanda,23230,2,1.011125,1.062811
2018,"Caribbean & Central America, regional",23230,2,0.49787,0.612586
2018,South Africa,23270,2,0.162131,0.199488
2018,Myanmar,23230,2,1.843416,2.268044
2018,Comoros,23230,2,0,0
2018,Mozambique,23230,2,0.824156,1.014053
2018,"Bilateral, unspecified",23220,2,16.802513,20.227258
2018,Panama,23220,2,0.133508,0.16427
2018,Uganda,23220,2,309.833598,379.369838
2018,Philippines,23220,2,0.048389,0.048652
2018,Lao People's Democratic Republic,23220,2,25.933865,27.038161
2018,Zambia,23220,2,0.361018,0.443048
2018,Lesotho,23230,2,0,0
2018,Indonesia,15110,2,0,0
2018,Nigeria,32167,2,0,0
2018,Brazil,23210,2,75.127349,75.708067
2018,Brazil,31120,2,2.400405,2.498375
2018,El Salvador,23230,2,0,0
2018,Côte d'Ivoire,23340,2,0.023208,0.023359
2018,India,23230,2,73.995609,77.224978
2018,Rwanda,23220,2,0.007621,0.007671
2018,Fiji,23210,2,0.7406,0.66131
2018,Kenya,24040,2,0,0
2018,Bangladesh,23310,2,51.029066,43.585751
2018,India,23210,2,312.608549,299.438487
2018,Senegal,23230,2,19.57125,19.699404
2018,"Bilateral, unspecified",25010,2,4.465466,4.778953
2018,Nicaragua,23240,2,0,0
2018,Dominican Republic,23210,2,0,0
2018,Cameroon,23210,2,0.070639,0.063076
2018,Rwanda,23210,2,6.722108,6.992136
2018,Nicaragua,23210,2,5.977473,5.706187
2018,Nicaragua,23260,2,0,0
2018,Ecuador,23220,2,0.107261,0.107962
2018,Nepal,23210,2,4.272123,4.354294
2018,"Bilateral, unspecified",41010,2,404.557054,444.050438
2018,Georgia,23210,2,2.904911,2.949594
2018,Georgia,23220,2,0.05244,0.052383
2018,Georgia,31210,2,0.32001,0.317083
2018,"Bilateral, unspecified",99820,2,25.184091,26.110231
2018,Iran,23183,2,0.069146,0.069523
2018,Ethiopia,31210,2,0.062552,0.062484
2018,"America, regional",23110,2,0.529529,0.522797
2018,India,41010,2,7.407306,8.198593
2018,"Bilateral, unspecified",23110,2,79.849083,82.60442
2018,Maldives,23230,2,2.415372,2.512818
2018,"Central Asia, regional",23220,2,0.106622,0.106507
2018,"Bilateral, unspecified",41020,2,57.664681,64.348854
2018,"Bilateral, unspecified",24081,2,2.556499,2.695694
2018,"Central Asia, regional",23110,2,0.254912,0.283697
2018,"Europe, regional",23210,2,1.096473,1.09529
2018,Guatemala,31210,2,0.238031,0.237774
2018,Bhutan,31210,2,0.290108,0.289795
2018,"Africa, regional",14010,2,0.136057,0.13591
2018,"South & Central Asia, regional",41030,2,0.59011,0.589473
2018,"Caribbean & Central America, regional",23110,2,3.707821,3.727803
2018,Ukraine,23181,2,0.004131,0.004126
2018,"South of Sahara, regional",23181,2,0.767143,0.766315
2018,"South & Central Asia, regional",23110,2,0.236044,0.235789
2018,Moldova,23230,2,0,0
2018,Bolivia,23210,2,2.512942,2.526478
2018,Tanzania,43040,2,0,0
2018,India,24081,2,0,0
2018,Senegal,43040,2,0,0
2018,Kenya,14030,2,0,0
2018,Ethiopia,43040,2,0.191786,0.18745
2018,Türkiye,23181,2,0.023529,0.023504
2018,Kenya,15150,2,0,0
2018,"Bilateral, unspecified",41081,2,2.874797,2.916187
2018,"Bilateral, unspecified",23210,2,257.708579,266.495715
2018,Guatemala,31120,2,1.37097,1.581152
2018,Brazil,41020,2,1.682249,1.675745
2018,Kosovo,41010,2,0.354066,0.353684
2018,Vanuatu,23210,2,1.791767,1.856008
2018,"Africa, regional",23181,2,0.118022,0.117895
2018,"South of Sahara, regional",23210,2,21.965037,21.958602
2018,Ghana,31120,2,4.05185,4.650688
2018,"South of Sahara, regional",23110,2,65.564679,72.824357
2018,Sri Lanka,24081,2,0.012227,0.012214
2018,Senegal,31120,2,0.170742,0.189751
2018,Nicaragua,41010,2,0.078895,0.078661
2018,Nepal,32130,2,0.697024,0.696273
2018,"Africa, regional",23110,2,10.105553,10.3282
2018,Ukraine,24010,2,1.770329,1.76842
2018,Bhutan,23220,2,17.4524,18.164703
2018,Lao People's Democratic Republic,23210,2,0.383571,0.383158
2018,Ukraine,23110,2,3.615244,3.800706
2018,"Bilateral, unspecified",25040,2,2.061731,2.095133
2018,"South Asia, regional",23210,2,0,0
2018,Argentina,31210,2,0.011802,0.011789
2018,Ethiopia,11330,2,0.227782,0.227537
2018,Brazil,23183,2,1.214301,1.220187
2018,Nigeria,23183,2,0.240874,0.240614
2018,"Oceania, regional",23110,2,4.045071,4.345431
2018,Uganda,31182,2,0.21244,0.21221
2018,"Oceania, regional",23210,2,0.723668,0.752762
2018,Armenia,23210,2,8.188377,8.232825
2018,Uganda,23230,2,1.544347,1.574357
2018,Bhutan,31120,2,0.008262,0.008253
2018,"Africa, regional",23230,2,2.499151,2.602996
2018,El Salvador,31120,2,0.004721,0.004614
2018,Nigeria,23230,2,15.488776,15.366801
2018,South Africa,41010,2,5.81614,5.845556
2018,Indonesia,23110,2,404.335173,420.806621
2018,Bangladesh,41010,2,0.123582,0.145782
2018,"Bilateral, unspecified",43010,2,22.117165,24.794923
2018,Viet Nam,41010,2,4.976466,5.357696
2018,Ethiopia,25010,2,0,0
2018,Georgia,23183,2,8.630172,8.795279
2018,Uganda,14010,2,0.961846,0.992206
2018,"Bilateral, unspecified",99810,2,4.639398,4.649387
2018,Ethiopia,23240,2,0.294293,0.304892
2018,Bolivia,23240,2,16.436732,16.955539
2018,Bangladesh,43040,2,4.01676,4.143546
2018,Kenya,41010,2,1.966439,2.097044
2018,India,23110,2,58.894481,61.186961
2018,Indonesia,41010,2,63.850405,73.555149
2018,Türkiye,23183,2,2.616292,2.65107
2018,"Bilateral, unspecified",23240,2,0.315718,0.325683
2018,Mexico,41010,2,4.380584,4.559201
2018,"Bilateral, unspecified",15150,2,3.946761,4.178028
2018,"America, regional",23210,2,4.423975,4.37698
2018,Tunisia,23340,2,98.317897,83.970242
2018,Bangladesh,23340,2,23.938651,20.445253
2018,Mozambique,31210,2,4.861214,4.916028
2018,Viet Nam,31210,2,6.707371,5.728554
