year,sector_code,recipient_name,usd_disbursement,usd_disbursement_deflated
2018,151,Marshall Islands,1.39815,1.475185
2018,151,Cabo Verde,2.40532,2.425925
2018,151,Fiji,17.029872,17.705193
2018,151,Tonga,23.96926,25.469056
2018,151,Guinea-Bissau,16.699458,16.951805
2018,151,Antigua and Barbuda,0.836939,0.866941
2018,151,"America, regional",90.766124,94.202964
2018,151,Jamaica,31.104039,32.686071
2018,151,"Far East Asia, regional",13.805021,14.949861
2018,151,Samoa,11.79018,12.651015
2018,151,Cook Islands,0.250467,0.268708
2018,151,Grenada,10.979626,11.399363
2018,151,"Oceania, regional",44.12158,45.294146
2018,151,Saint Vincent and the Grenadines,0.356621,0.369532
2018,151,Solomon Islands,53.27867,57.46276
2018,151,Saint Lucia,0.529939,0.52723
2018,151,Vanuatu,12.573932,13.687712
2018,151,"South Asia, regional",36.00104,36.167048
2018,151,Micronesia,0.874864,0.941675
2018,151,Guyana,6.256559,6.584903
2018,151,Dominica,0.350141,0.336145
2018,151,Belize,0.788479,0.814182
2018,151,Montserrat,13.785489,14.358443
2018,151,"Caribbean, regional",25.26141,27.69197
2018,151,Saint Helena,11.272307,11.738044
2018,151,"Middle Africa, regional",15.483544,16.127074
2018,151,Democratic People's Republic of Korea,5.627591,6.072288
2018,151,Niue,0.384354,0.401679
2018,151,Palau,0.286959,0.302544
2018,151,Kiribati,7.989321,8.433855
2018,151,Nauru,4.311399,4.709184
2018,151,Tuvalu,5.66641,5.918864
2018,151,Tokelau,0.29175,0.304832
2018,151,Suriname,0.412201,0.420314
2018,151,Wallis and Futuna,22.489727,21.798068
2019,151,Bolivia,42.315793,44.404142
2019,151,Uganda,190.075875,202.857452
2019,151,"Bilateral, unspecified",2257.94656499999,2400.265542
2019,151,"Central Asia, regional",37.72012,40.820981
2019,151,Albania,72.6972810000001,75.983857
2019,151,Bosnia and Herzegovina,133.875348,138.394986
2019,151,Kosovo,163.994494,171.440887
2019,151,States Ex-Yugoslavia unspecified,2.858152,3.350904
2019,151,Moldova,86.5233160000001,91.540837
2019,151,Montenegro,20.089705,20.924502
2019,151,Serbia,180.902119,188.586904
2019,151,Türkiye,59.076793,62.168265
2019,151,Tanzania,182.090506,193.166173
2019,151,Ethiopia,260.53958,276.891954
2019,151,El Salvador,57.429784,63.417801
2019,151,Brazil,31.160993,33.309217
2019,151,"South of Sahara, regional",294.874337,320.256609
2019,151,Mozambique,105.811605,114.015677
2019,151,"Europe, regional",378.116627,399.223494
2019,151,Kenya,383.524743,407.932592
2019,151,Ecuador,22.280913,23.689412
2019,151,Nicaragua,40.950625,44.017331
2019,151,West Bank and Gaza Strip,242.382825,254.525409
2019,151,Papua New Guinea,150.009656,170.10916
2019,151,Myanmar,162.292998,176.713764
2019,151,Guatemala,116.413215,126.619086
2019,151,Democratic Republic of the Congo,150.053741,161.1777
2019,151,Ukraine,308.430655,336.051886
2019,151,Burkina Faso,138.930292,146.659833
2019,151,Bangladesh,400.143802,424.540877
2019,151,Cambodia,72.0414310000001,76.962685
2019,151,Zambia,57.791501,61.326613
2019,151,"Africa, regional",391.404498,410.266678
2019,151,Lesotho,11.372362,12.019889
2019,151,Bhutan,23.461952,24.575771
2019,151,"Middle East, regional",210.296809,222.92136
2019,151,Rwanda,87.197754,93.886342
2019,151,Syrian Arab Republic,54.11895,57.142735
2019,151,Jordan,863.302061,972.759755
2019,151,Sri Lanka,46.580019,50.332041
2019,151,Zimbabwe,74.469238,80.315323
2019,151,Armenia,44.789157,44.617797
2019,151,Colombia,257.859795,289.540502
2019,151,"Asia, regional",180.292816,186.164762
2019,151,"North of Sahara, regional",50.988514,53.625479
2019,151,North Macedonia,43.060046,45.588194
2019,151,Belarus,30.171355,31.976578
2019,151,Honduras,104.223909,114.300033
2019,151,Somalia,190.991626,205.812283
2019,151,Afghanistan,1396.231601,1514.752098
2019,151,Cuba,26.851046,29.59629
2019,151,China (People's Republic of),35.983515,38.217717
2019,151,Georgia,104.200129,109.543697
2019,151,Liberia,65.470459,71.725646
2019,151,Paraguay,12.446141,13.414385
2019,151,Sudan,26.738603,28.456193
2019,151,Côte d'Ivoire,29.374729,30.969461
2019,151,Ghana,83.340712,88.158698
2019,151,Malawi,67.711944,74.454374
2019,151,Malaysia,6.395748,6.94945
2019,151,Pakistan,281.614302,300.734897
2019,151,Peru,72.824196,79.88798
2019,151,India,92.893172,98.1731920000001
2019,151,Mali,188.988164,203.149483
2019,151,Kyrgyzstan,47.5476,51.404138
2019,151,Viet Nam,76.810009,81.143251
2019,151,Azerbaijan,11.657258,12.519538
2019,151,Tajikistan,24.044039,25.708508
2019,151,Nepal,180.573418,195.990978
2019,151,Thailand,14.508227,15.775826
2019,151,"South Asia, regional",21.824413,22.756836
2019,151,Iraq,177.740528,191.457337
2019,151,Nigeria,276.559391,294.128014
2019,151,Timor-Leste,30.723929,33.688205
2019,151,Lebanon,107.907672,116.619962
2019,151,Yemen,44.692322,48.386315
2019,151,South Africa,49.570186,52.869003
2019,151,Senegal,108.794828,115.345641
2019,151,"South America, regional",106.393781,111.153895
2019,151,"Caribbean & Central America, regional",69.305265,73.717198
2019,151,South Sudan,67.0880700000001,75.013105
2019,151,Benin,106.283254,113.389055
2019,151,Morocco,119.289689,123.980621
2019,151,Egypt,65.966036,70.732231
2019,151,Iran,6.212662,6.497411
2019,151,Uzbekistan,198.993608,202.042893
2019,151,Haiti,76.6158810000001,84.678977
2019,151,Tunisia,242.240373,254.573105
2019,151,Indonesia,123.817086,135.173938
2019,151,Mexico,155.620163,174.942911
2019,151,Niger,230.512512,244.263672
2019,151,Libya,66.594685,72.009628
2019,151,Philippines,60.124933,65.5274590000001
2019,151,Togo,110.311034,116.141561
2019,151,Namibia,7.677065,7.9432
2019,151,"America, regional",61.236589,66.012975
2019,151,Venezuela,26.238563,29.234923
2019,151,Angola,16.149289,17.784094
2019,151,Algeria,20.661767,21.459856
2019,151,Eswatini,4.195033,4.469317
2019,151,Costa Rica,4.67029,4.837835
2019,151,Gambia,11.016142,11.771683
2019,151,"Oceania, regional",63.928291,67.99751
2019,151,Burundi,33.876842,36.087585
2019,151,Kazakhstan,9.59740299999999,10.380655
2019,151,Chad,24.592002,25.269642
2019,151,Cameroon,111.863007,117.947291
2019,151,Mauritania,23.679145,24.64147
2019,151,Madagascar,78.80847,83.611369
2019,151,"Western Africa, regional",16.16646,16.729068
2019,151,Fiji,22.657711,24.025661
2019,151,Dominican Republic,28.200073,29.377526
2019,151,Congo,10.974114,11.509785
2019,151,Democratic People's Republic of Korea,4.681026,5.168392
2019,151,Eritrea,3.960124,4.116315
2019,151,Argentina,9.458796,9.975628
2019,151,Sierra Leone,81.196235,83.418653
2019,151,Lao People's Democratic Republic,92.168521,96.739084
2019,151,Mongolia,34.459723,36.516945
2019,151,Guinea,68.527779,72.67757
2019,151,Turkmenistan,4.412712,4.743763
2019,151,Jamaica,17.979027,19.53714
2019,151,Panama,2.926832,3.178939
2019,151,"Eastern Africa, regional",7.917096,8.307568
2019,151,"South & Central Asia, regional",6.453047,7.488624
2019,151,"Caribbean, regional",27.368656,30.750771
2019,151,Central African Republic,89.548281,94.1127180000001
2019,151,Botswana,2.639824,2.835353
2019,151,"Far East Asia, regional",15.688983,17.232811
2019,151,Equatorial Guinea,1.783168,1.869318
2019,151,Grenada,0.926052,0.979228
2019,151,Dominica,0.904872,0.987024
2019,151,Solomon Islands,41.410849,46.549934
2019,151,Vanuatu,17.382889,19.21339
2019,151,Gabon,1.76967,1.840826
2019,151,Guyana,8.473872,8.948229
2019,151,Djibouti,13.208549,13.850157
2019,151,Saint Lucia,0.593239,0.609953
2019,151,Sao Tome and Principe,3.498276,3.675102
2019,151,Cabo Verde,36.990913,39.164434
2019,151,Guinea-Bissau,11.830507,11.975865
2019,151,Kiribati,1.875771,2.077223
2019,151,Suriname,0.169667,0.175257
2019,151,Saint Vincent and the Grenadines,11.667829,12.365271
2019,151,Comoros,4.843666,5.031861
2019,151,Maldives,24.190859,24.722436
2019,151,Tonga,14.537365,15.912967
2019,151,Samoa,9.024076,10.101583
2019,151,Cook Islands,0.890966,0.956585
2019,151,Micronesia,3.663842,4.044143
2019,151,Belize,1.533875,1.598916
2019,151,Antigua and Barbuda,2.379832,2.49417
2019,151,Mauritius,2.65244,2.715127
2019,151,Tuvalu,5.24789,5.610326
2019,151,Marshall Islands,1.321375,1.440672
2019,151,Palau,1.293564,1.405288
2019,151,Nauru,3.347542,3.790357
2019,151,Niue,4.923107,5.333175
2019,151,Tokelau,0.689414,0.737792
2019,151,"Central America, regional",1.090878,1.162989
2019,151,Montserrat,14.001877,14.927453
2019,151,Saint Helena,9.038757,9.636255
2019,151,"Middle Africa, regional",12.53721,13.365966
2019,151,Wallis and Futuna,44.548286,44.942198
2020,151,Bosnia and Herzegovina,118.276151,119.291558
2020,151,Moldova,59.823107,62.079231
2020,151,"Bilateral, unspecified",2195.596717,2296.034252
2020,151,Georgia,292.265926,287.29672
2020,151,Samoa,26.34352,27.705673
2020,151,"South of Sahara, regional",485.502609,504.453206
2020,151,Angola,16.485088,17.959789
2020,151,Albania,65.989565,66.71029
2020,151,Argentina,6.917416,7.20158
2020,151,Armenia,72.808553,74.014093
2020,151,Bangladesh,247.281038,255.070876
2020,151,Belize,1.493446,1.559071
2020,151,Bolivia,41.418093,42.3335700000001
2020,151,Brazil,27.78507,30.151224
2020,151,Bhutan,47.481905,48.311062
2020,151,Botswana,1.816366,1.93006
2020,151,Côte d'Ivoire,38.38575,39.161506
2020,151,Colombia,756.435405,776.897611
2020,151,Cuba,24.948941,26.518378
2020,151,Dominica,1.229212,1.318493
2020,151,Ecuador,29.140446,30.689173
2020,151,Ghana,143.972453,148.432373
2020,151,Guinea,72.445741,74.910266
2020,151,Guatemala,338.308265,351.074451
2020,151,Guyana,4.543328,4.934817
2020,151,Haiti,72.944597,78.549798
2020,151,Jordan,926.929597,1028.254183
2020,151,Kyrgyzstan,76.545549,78.1758860000001
2020,151,Cambodia,195.478139,202.254993
2020,151,"Caribbean & Central America, regional",24.256228,24.669308
2020,151,"America, regional",148.738834,162.568502
2020,151,Lao People's Democratic Republic,40.401166,41.073384
2020,151,Lebanon,116.126985,123.215105
2020,151,Saint Lucia,0.693492,0.697231
2020,151,Sri Lanka,43.889611,45.260718
2020,151,Lesotho,11.509055,11.786159
2020,151,Morocco,149.268058,147.313676
2020,151,Myanmar,214.397835,226.254093
2020,151,Montenegro,45.057164,44.976064
2020,151,Niger,261.341092,269.763721
2020,151,Nicaragua,39.872456,41.903421
2020,151,Panama,3.154793,3.271507
2020,151,Palau,5.484145,5.65226
2020,151,Paraguay,12.829824,13.152221
2020,151,West Bank and Gaza Strip,250.971489,255.467873
2020,151,Rwanda,64.015262,66.529731
2020,151,Sudan,118.084729,119.853912
2020,151,Senegal,124.323596,125.13782
2020,151,Sierra Leone,86.799662,88.677303
2020,151,Serbia,164.392806,166.501006
2020,151,Sao Tome and Principe,4.193005,4.272725
2020,151,Suriname,0.296875,0.297009
2020,151,Chad,116.424025,118.554889
2020,151,Togo,47.381033,48.136446
2020,151,Thailand,14.785408,15.341535
2020,151,Tajikistan,61.508523,63.36128
2020,151,Turkmenistan,2.776197,2.959123
2020,151,Timor-Leste,45.901015,48.809661
2020,151,Tonga,33.218765,34.864203
2020,151,Tunisia,285.60835,288.196427
2020,151,Zambia,48.562709,50.32481
2020,151,Vanuatu,21.455411,23.630372
2020,151,"Oceania, regional",48.794446,52.212929
2020,151,Liberia,73.35701,78.697794
2020,151,Uzbekistan,121.685443,121.927722
2020,151,Belarus,37.434229,38.545347
2020,151,Ukraine,278.716751,297.635175
2020,151,Kazakhstan,8.785988,9.412911
2020,151,Syrian Arab Republic,55.347926,56.40216
2020,151,Gambia,30.407995,31.403361
