year,recipient_name,sector_code,usd_disbursement,usd_disbursement_deflated,climate_mitigation
2018,Brazil,321,0.037206,0.037408,1 or 2
2018,Honduras,232,18.452559,18.70816,1 or 2
2018,Kenya,232,95.84265,86.801811,1 or 2
2018,"Bilateral, unspecified",232,325.937105,339.784213,1 or 2
2018,South Africa,232,8.744353,9.61583,1 or 2
2018,"Bilateral, unspecified",233,0,0,1 or 2
2018,"South Asia, regional",232,0.084962,0.088059,1 or 2
2018,Serbia,232,110.387137,114.018874,1 or 2
2018,China (People's Republic of),232,103.175164,107.922559,1 or 2
2018,Egypt,232,295.69786,295.950294,1 or 2
2018,Ukraine,232,43.349654,45.081753,1 or 2
2018,Malaysia,231,0.034372,0.029356,1 or 2
2018,India,232,545.165087,533.374003,1 or 2
2018,"Bilateral, unspecified",240,817.897579,844.93135,1 or 2
2018,Mongolia,232,34.499271,34.389806,1 or 2
2018,Brazil,232,78.210131,78.892565,1 or 2
2018,Kenya,233,0,0,1 or 2
2018,India,140,62.024239,62.287632,1 or 2
2018,Sri Lanka,233,0,0,1 or 2
2018,"South of Sahara, regional",240,52.786079,53.937331,1 or 2
2018,"Africa, regional",232,246.465612,270.810649,1 or 2
2018,"Africa, regional",240,48.783444,48.90524,1 or 2
2018,"South Asia, regional",240,2.86371,2.800011,1 or 2
2018,Kenya,430,11.469549,11.276816,1 or 2
2018,"South & Central Asia, regional",240,5.1605,5.045712,1 or 2
2018,"South of Sahara, regional",232,47.143701,49.469023,1 or 2
2018,Rwanda,232,9.255057,9.59892,1 or 2
2018,"Caribbean & Central America, regional",232,3.219797,3.349326,1 or 2
2018,Myanmar,232,10.283535,11.011216,1 or 2
2018,Comoros,232,3.838067,3.972788,1 or 2
2018,Mozambique,232,12.673501,12.592101,1 or 2
2018,Panama,232,0.332249,0.383098,1 or 2
2018,Uganda,232,328.294671,398.94717,1 or 2
2018,Philippines,232,5.147081,5.114566,1 or 2
2018,Lao People's Democratic Republic,232,27.641913,28.667346,1 or 2
2018,Zambia,232,19.266331,19.386157,1 or 2
2018,"South of Sahara, regional",231,91.357649,98.349115,1 or 2
2018,Rwanda,312,1.171124,1.180341,1 or 2
2018,Lesotho,232,0.770394,0.757219,1 or 2
2018,Sri Lanka,231,9.836084,10.227705,1 or 2
2018,Jordan,232,192.677711,197.136275,1 or 2
2018,El Salvador,232,6.903242,6.826758,1 or 2
2018,Tanzania,311,12.139512,12.890663,1 or 2
2018,Tanzania,232,16.789035,16.801479,1 or 2
2018,Thailand,232,171.877337,178.69033,1 or 2
2018,Lao People's Democratic Republic,312,18.877052,18.698329,1 or 2
2018,"South Asia, regional",231,0,0,1 or 2
2018,Argentina,232,1.337046,1.306817,1 or 2
2018,Nicaragua,140,14.056335,13.949322,1 or 2
2018,Pakistan,232,76.490243,79.39559,1 or 2
2018,Peru,232,30.663478,30.729466,1 or 2
2018,Indonesia,232,236.912212,237.112976,1 or 2
2018,Mexico,232,85.470663,86.01304,1 or 2
2018,Senegal,232,52.805562,56.858998,1 or 2
2018,"America, regional",232,19.27799,20.662787,1 or 2
2018,Jamaica,232,16.07953,15.8067,1 or 2
2018,Nigeria,232,26.574089,26.800391,1 or 2
2018,Burundi,232,1.571123,1.551479,1 or 2
2018,Peru,240,0,0,1 or 2
2018,Haiti,240,0.472088,0.457498,1 or 2
2018,Indonesia,151,30.464426,33.392428,1 or 2
2018,Tunisia,210,0.068817,0.058774,1 or 2
2018,Egypt,160,12.884767,12.490933,1 or 2
2018,Türkiye,240,232.001652,237.661603,1 or 2
2018,Costa Rica,232,32.324524,27.633271,1 or 2
2018,Bangladesh,321,0.946312,0.934705,1 or 2
2018,Georgia,232,3.823153,4.065565,1 or 2
2018,Mauritius,236,0,0,1 or 2
2018,Dominican Republic,232,10.600931,10.275985,1 or 2
2018,Cameroon,232,0.510342,0.485124,1 or 2
2018,India,321,33.50858,32.541711,1 or 2
2018,Honduras,321,2.945425,3.179301,1 or 2
2018,Lebanon,122,0,0,1 or 2
2018,Morocco,160,10.032855,9.776679,1 or 2
2018,Tanzania,321,0.03115,0.036745,1 or 2
