year,recipient_name,sector_code,usd_disbursement,usd_disbursement_deflated,climate_mitigation
2018,Nigeria,321,0,0,1 or 2
2018,Togo,210,0,0,1 or 2
2018,Türkiye,232,132.496574,137.292556,1 or 2
2018,Ghana,240,30.319049,29.382047,1 or 2
2018,Democratic Republic of the Congo,311,11.229691,11.558862,1 or 2
2018,Bangladesh,240,47.599409,47.727532,1 or 2
2018,Morocco,321,14.415505,14.109736,1 or 2
2018,Tunisia,240,0,0,1 or 2
2018,Egypt,410,2.619418,2.621018,1 or 2
2018,Armenia,311,10.971628,10.632552,1 or 2
2018,Paraguay,240,0,0,1 or 2
2018,Morocco,232,215.85418,219.332726,1 or 2
2018,Panama,240,0,0,1 or 2
2018,Senegal,233,0,0,1 or 2
2018,Sri Lanka,240,0.019955,0.019934,1 or 2
2018,Lebanon,240,113.134663,117.752146,1 or 2
2018,Côte d'Ivoire,233,0.023208,0.023359,1 or 2
2018,Armenia,240,15.954314,16.188667,1 or 2
2018,Lao People's Democratic Republic,321,0.116252,0.114826,1 or 2
2018,Nigeria,240,36.900707,37.156194,1 or 2
2018,Panama,321,0,0,1 or 2
2018,Nicaragua,232,6.391519,6.076703,1 or 2
2018,Brazil,430,5.241282,5.319251,1 or 2
2018,Nicaragua,311,7.253926,7.111106,1 or 2
2018,Türkiye,122,0,0,1 or 2
2018,Türkiye,210,201.770286,199.327564,1 or 2
2018,Brazil,311,6.054957,6.166503,1 or 2
2018,"Bilateral, unspecified",250,89.359404,90.297877,1 or 2
2018,Fiji,232,0.928572,0.850319,1 or 2
2018,Kenya,240,0,0,1 or 2
2018,Bangladesh,233,305.971057,261.323734,1 or 2
2018,Ecuador,232,1.045867,0.944299,1 or 2
2018,"Bilateral, unspecified",410,906.14579,967.588555999999,1 or 2
2018,"Bilateral, unspecified",312,113.455035,115.914707,1 or 2
2018,"South America, regional",151,45.793369,46.056185,1 or 2
2018,"Bilateral, unspecified",430,287.087136,301.474296,1 or 2
2018,Mozambique,311,8.775829,8.854394,1 or 2
2018,Uganda,311,57.620346,59.571072,1 or 2
2018,Nicaragua,111,0.004721,0.004716,1 or 2
2018,Nepal,232,16.396909,16.872545,1 or 2
2018,States Ex-Yugoslavia unspecified,231,1.18022,1.178947,1 or 2
2018,"Bilateral, unspecified",220,4.471438,4.611379,1 or 2
2018,"Bilateral, unspecified",998,96.913591,99.087086,1 or 2
2018,Senegal,430,1.575906,1.535173,1 or 2
2018,Nigeria,236,0.00118,0.001179,1 or 2
2018,Georgia,312,1.146754,1.143029,1 or 2
2018,Burkina Faso,140,20.94653,21.354736,1 or 2
2018,El Salvador,311,1.813489,1.820442,1 or 2
2018,Nepal,410,18.900835,21.175638,1 or 2
2018,Iran,231,2.553587,2.365051,1 or 2
2018,Egypt,250,0.067037,0.066998,1 or 2
2018,Ukraine,311,88.777669,92.312249,1 or 2
2018,Ethiopia,312,11.253805,10.955527,1 or 2
2018,"Bilateral, unspecified",910,29.004812,29.282741,1 or 2
2018,"America, regional",231,2.557642,2.566436,1 or 2
2018,Mozambique,140,0.478269,0.454691,1 or 2
2018,India,410,50.934467,51.112146,1 or 2
2018,"Bilateral, unspecified",231,176.186379,184.33921,1 or 2
2018,Maldives,232,3.650006,3.797842,1 or 2
2018,"Central Asia, regional",232,0.147613,0.141516,1 or 2
2018,"Europe, regional",430,26.020138,26.667753,1 or 2
2018,"Central Asia, regional",231,0.254912,0.283697,1 or 2
2018,Ghana,232,0.927015,1.020743,1 or 2
2018,Uganda,720,0.10622,0.106105,1 or 2
2018,"Europe, regional",232,6.186634,6.863334,1 or 2
2018,"Europe, regional",151,3.965639,3.95702,1 or 2
2018,Guatemala,312,0.238031,0.237774,1 or 2
2018,Uganda,312,6.248455,6.171904,1 or 2
2018,Bhutan,312,0.340267,0.339435,1 or 2
2018,"Europe, regional",231,12.037141,12.437522,1 or 2
2018,"Africa, regional",140,14.73867,14.448121,1 or 2
2018,"South & Central Asia, regional",410,1.008061,1.002188,1 or 2
2018,Mozambique,122,0.839285,0.904464,1 or 2
2018,"Caribbean & Central America, regional",231,3.92334,3.944494,1 or 2
2018,Brazil,111,0.017703,0.017684,1 or 2
2018,Ukraine,231,148.689514,148.685659,1 or 2
2018,Uganda,430,23.872598,24.28832,1 or 2
2018,"South & Central Asia, regional",231,4.986747,5.462067,1 or 2
2018,Moldova,232,0.087419,0.09427,1 or 2
2018,"South of Sahara, regional",311,42.567829,44.148911,1 or 2
2018,Bolivia,232,36.282365,36.255846,1 or 2
2018,Burkina Faso,232,22.648202,22.209409,1 or 2
2018,Kosovo,321,5.530033,5.751504,1 or 2
2018,India,240,159.575076,166.07532,1 or 2
2018,Moldova,140,3.353004,3.489853,1 or 2
2018,Tanzania,140,9.496841,10.810118,1 or 2
2018,Tanzania,430,8.102558,7.986516,1 or 2
2018,Kenya,140,7.032598,6.942765,1 or 2
2018,Ethiopia,430,6.714363,6.968125,1 or 2
2018,Türkiye,231,2.639821,2.674574,1 or 2
2018,Kenya,151,16.967259,17.718557,1 or 2
2018,Burkina Faso,231,0.019737,0.019152,1 or 2
2018,Bolivia,311,9.534055,9.712969,1 or 2
2018,Guatemala,311,9.21443,9.703693,1 or 2
2018,Brazil,410,125.488902,145.655942,1 or 2
2018,Kosovo,410,0.868169,0.864099,1 or 2
2018,Vanuatu,232,2.559615,2.654811,1 or 2
2018,Niger,311,11.056896,11.231031,1 or 2
2018,"South Asia, regional",410,1.704779,1.785876,1 or 2
2018,"Africa, regional",231,27.937455,28.544446,1 or 2
2018,Burkina Faso,430,1.797377,1.756216,1 or 2
2018,Peru,311,5.856451,6.092853,1 or 2
2018,"Bilateral, unspecified",140,21.536645,21.895784,1 or 2
2018,Uganda,140,1.924442,1.952875,1 or 2
2018,States Ex-Yugoslavia unspecified,410,0.123922,0.123789,1 or 2
2018,"Far East Asia, regional",210,0.948186,0.991139,1 or 2
2018,Ghana,311,46.366418,51.600826,1 or 2
2018,Senegal,311,12.748128,13.242542,1 or 2
2018,Nicaragua,410,1.006649,1.012025,1 or 2
2018,"Asia, regional",210,3.028422,3.065125,1 or 2
2018,"Africa, regional",430,81.801662,84.224605,1 or 2
2018,Lao People's Democratic Republic,140,7.136882,7.170207,1 or 2
2018,Nepal,321,0.697024,0.696273,1 or 2
2018,South Sudan,111,0.007081,0.007074,1 or 2
2018,Mozambique,312,4.987619,5.039919,1 or 2
2018,Ukraine,240,29.117196,30.231423,1 or 2
2018,Bhutan,232,17.4524,18.164703,1 or 2
2018,Uganda,410,5.578591,6.169199,1 or 2
2018,"South America, regional",430,67.302792,70.094926,1 or 2
2018,Argentina,312,0.011802,0.011789,1 or 2
2018,Ethiopia,113,0.686979,0.685424,1 or 2
2018,Brazil,231,7.153414,7.217716,1 or 2
2018,Georgia,321,1.849985,1.821553,1 or 2
2018,Nigeria,231,3.127731,3.384202,1 or 2
2018,Nigeria,140,0.064049,0.059177,1 or 2
2018,"Oceania, regional",231,4.045071,4.345431,1 or 2
2018,Kenya,121,0.666933,0.694653,1 or 2
2018,"Bilateral, unspecified",321,321.278212,335.057632,1 or 2
2018,Nepal,430,17.134309,17.822693,1 or 2
2018,"Oceania, regional",232,0.723668,0.752762,1 or 2
2018,Armenia,232,16.502757,16.593681,1 or 2
2018,Burkina Faso,160,0.98402,0.977115,1 or 2
2018,Costa Rica,111,0.021244,0.021221,1 or 2
2018,Bhutan,311,0.014844,0.01413,1 or 2
2018,"Asia, regional",430,23.619701,25.880135,1 or 2
2018,"South of Sahara, regional",140,7.273125,7.347232,1 or 2
2018,Indonesia,410,103.4402,118.311642,1 or 2
2018,South Africa,410,7.35236,7.366403,1 or 2
2018,Indonesia,231,640.884554,658.589524,1 or 2
2018,"Bilateral, unspecified",740,3.548069,3.506431,1 or 2
2018,Bangladesh,410,11.410678,12.600451,1 or 2
2018,Viet Nam,410,28.012526,29.701929,1 or 2
2018,Ethiopia,250,0,0,1 or 2
2018,Mali,250,8.531612,8.782309,1 or 2
2018,Mali,140,0.402498,0.391715,1 or 2
2018,Kenya,410,39.706208,42.296591,1 or 2
2018,Georgia,231,68.213603,68.739882,1 or 2
2018,Bolivia,410,9.91942,10.194455,1 or 2
2018,Afghanistan,720,13.338485,13.892863,1 or 2
2018,Tanzania,250,15.790581,16.256557,1 or 2
2018,Myanmar,312,2.737514,2.802238,1 or 2
2018,Kenya,998,0.359264,0.376453,1 or 2
2018,South Africa,430,1.516058,1.578402,1 or 2
2018,Ethiopia,232,5.309261,5.308242,1 or 2
2018,"Caribbean & Central America, regional",740,0.580323,0.600503,1 or 2
2018,Burkina Faso,510,13.48386,13.909463,1 or 2
2018,Ethiopia,321,0.920641,0.912123,1 or 2
2018,Nepal,231,6.213038,6.982824,1 or 2
2018,Bangladesh,740,5e-05,5.1e-05,1 or 2
2018,Indonesia,321,0.766218,0.765075,1 or 2
2018,Bangladesh,430,23.330563,24.248289,1 or 2
2018,Somalia,311,1.09797,1.084866,1 or 2
2018,China (People's Republic of),210,277.8086,287.842745,1 or 2
2018,Mozambique,410,30.813156,32.043402,1 or 2
2018,Bangladesh,720,0.141626,0.137249,1 or 2
2018,China (People's Republic of),231,209.576856,218.601949,1 or 2
2018,Viet Nam,140,7.684352,6.875998,1 or 2
2018,Afghanistan,311,14.021429,14.553585,1 or 2
2018,India,231,79.938703,81.841934,1 or 2
2018,Mozambique,321,0.54885,0.633813,1 or 2
2018,Georgia,311,1.065387,1.114371,1 or 2
2018,Bhutan,410,0.064323,0.063629,1 or 2
2018,Myanmar,250,5.154203,5.31689,1 or 2
2018,"Bilateral, unspecified",151,112.136801,114.629393,1 or 2
2018,Mali,233,0,0,1 or 2
2018,"Bilateral, unspecified",311,294.900105,313.383723,1 or 2
2018,Kenya,321,3.546542,3.681376,1 or 2
2018,"Caribbean & Central America, regional",410,19.912482,20.959389,1 or 2
2018,Ghana,111,0.086539,0.089271,1 or 2
2018,Bolivia,998,0.562326,0.592032,1 or 2
2018,"Asia, regional",140,0.920447,0.9577,1 or 2
2018,Mexico,410,25.281068,26.160644,1 or 2
2018,Indonesia,140,12.320509,13.134458,1 or 2
2018,Tanzania,410,18.673495,20.550308,1 or 2
2018,Afghanistan,321,0,0,1 or 2
2018,China (People's Republic of),410,40.795175,42.140505,1 or 2
2018,Micronesia,231,5.743758,4.905564,1 or 2
2018,Tunisia,233,98.317897,83.970242,1 or 2
2018,Iran,410,0.157215,0.135351,1 or 2
2018,Colombia,231,3.023278,3.170931,1 or 2
2018,Dominican Republic,140,0.427894,0.414903,1 or 2
2018,Papua New Guinea,312,4.271136,4.043595,1 or 2
2018,Democratic Republic of the Congo,231,0.11505,0.107194,1 or 2
2018,Lesotho,231,0.817543,0.803208,1 or 2
2018,India,312,22.531847,19.314695,1 or 2
2018,Malawi,312,2.707213,2.48424,1 or 2
2018,Argentina,140,1.181845,1.165556,1 or 2
2018,Philippines,210,103.600727,89.859881,1 or 2
2018,Kiribati,430,1.833495,1.908911,1 or 2
2018,Samoa,231,0.011744,0.01003,1 or 2
2018,Viet Nam,312,11.911544,10.935677,1 or 2
2018,Uzbekistan,232,0.021542,0.018398,1 or 2
2018,Kyrgyzstan,231,0.606269,0.626231,1 or 2
2018,Timor-Leste,312,4.938686,4.656119,1 or 2
2018,Peru,332,4.061435,3.468745,1 or 2
2018,Egypt,210,31.289627,30.356859,1 or 2
2018,Nigeria,210,0.014631,0.012832,1 or 2
2018,Zimbabwe,140,8.489784,8.841416,1 or 2
2018,Peru,410,36.306776,35.740031,1 or 2
2018,Peru,140,11.821233,10.644094,1 or 2
2018,Thailand,210,241.07482,205.894466,1 or 2
2018,Serbia,740,0.594348,0.575041,1 or 2
2018,Uzbekistan,231,11.623106,9.936652,1 or 2
2018,Indonesia,210,442.051597,399.892222,1 or 2
2018,Thailand,410,2.569765,2.43384,1 or 2
2018,Iran,140,0.094886,0.081039,1 or 2
2018,Cameroon,312,13.936138,13.808797,1 or 2
2018,India,210,1556.857332,1368.428908,1 or 2
2018,Bhutan,231,0.937673,0.801524,1 or 2
2018,Türkiye,140,23.227711,20.484937,1 or 2
2018,Indonesia,311,7.240734,7.462196,1 or 2
2018,Uzbekistan,233,164.337945,140.357737,1 or 2
2018,Bangladesh,210,397.579947,361.80703,1 or 2
2018,Maldives,410,0.010793,0.009218,1 or 2
2018,Iraq,233,24.406323,20.844677,1 or 2
2018,Pakistan,140,9.002421,8.743237,1 or 2
2018,"Africa, regional",410,82.196234,83.808154,1 or 2
2018,Cabo Verde,236,8.844389,7.556636,1 or 2
2018,Guinea,140,11.718274,11.606424,1 or 2
2018,Kenya,312,6.522304,6.266575,1 or 2
2018,Albania,140,5.646306,5.64017,1 or 2
2018,Democratic Republic of the Congo,312,20.459343,20.896203,1 or 2
2018,Tanzania,231,4.890152,4.718515,1 or 2
2018,Samoa,121,0.905487,0.773348,1 or 2
2018,Samoa,430,1.027793,0.907898,1 or 2
2018,Mongolia,410,6.04271,6.018246,1 or 2
2018,Indonesia,233,0.887105,0.757649,1 or 2
2018,Pakistan,231,34.073074,39.00531,1 or 2
2018,El Salvador,231,0.19412,0.172858,1 or 2
2018,Malaysia,410,1.059414,1.084174,1 or 2
2018,Viet Nam,151,9.376603,10.588511,1 or 2
2018,Malaysia,232,0.04886,0.04173,1 or 2
2018,Cambodia,236,23.807932,22.223028,1 or 2
2018,"Asia, regional",311,19.658492,21.780045,1 or 2
2018,Costa Rica,140,0.014035,0.011987,1 or 2
2018,Papua New Guinea,140,0.030338,0.027376,1 or 2
2018,Egypt,231,3.560758,3.524973,1 or 2
2018,Viet Nam,236,132.393028,128.473757,1 or 2
2018,Zambia,312,0.248584,0.245287,1 or 2
2018,Fiji,231,1.065695,0.910177,1 or 2
2018,Brazil,140,16.998793,16.111768,1 or 2
2018,"Bilateral, unspecified",322,5.211888,5.374064,1 or 2
2018,Guatemala,231,0.030912,0.028759,1 or 2
2018,Myanmar,231,17.524286,16.74927,1 or 2
2018,Fiji,312,0.026784,0.022875,1 or 2
2018,Peru,312,2.61027,2.66725,1 or 2
2018,Kiribati,231,0.055633,0.047515,1 or 2
2018,Solomon Islands,312,0.483863,0.433606,1 or 2
2018,Tanzania,210,27.515015,27.720635,1 or 2
2018,Eswatini,231,0.023144,0.019766,1 or 2
2018,Kenya,236,36.400126,32.794589,1 or 2
2018,Sri Lanka,236,77.772888,71.411089,1 or 2
2018,Malaysia,210,0.007072,0.00604,1 or 2
2018,Philippines,140,0.806166,0.909902,1 or 2
2018,Algeria,232,0.040932,0.037873,1 or 2
2018,Micronesia,730,1.810974,1.546696,1 or 2
2018,Palau,140,0.109926,0.094286,1 or 2
2018,Iran,312,0.198923,0.169894,1 or 2
2018,Thailand,430,0.426464,0.436787,1 or 2
2018,Bolivia,231,0.025593,0.025599,1 or 2
2018,Bangladesh,140,44.686183,45.982536,1 or 2
2018,Myanmar,236,18.511857,18.763447,1 or 2
2018,Lao People's Democratic Republic,236,0.00373,0.003186,1 or 2
2018,Papua New Guinea,210,6.542166,5.58746,1 or 2
2018,Costa Rica,410,3.230105,3.231299,1 or 2
2018,Peru,231,0.194475,0.176651,1 or 2
2018,Papua New Guinea,232,0.33075,0.343025,1 or 2
2018,Mongolia,233,23.380659,21.048955,1 or 2
2018,India,236,676.406935,687.609159,1 or 2
2018,Armenia,231,3.564121,3.581186,1 or 2
2018,Bangladesh,232,9.999498,9.114358,1 or 2
2018,Viet Nam,210,6.623217,6.521387,1 or 2
2018,Botswana,232,0.023389,0.021725,1 or 2
2018,Morocco,140,27.473016,27.355297,1 or 2
2018,Jordan,210,0.707632,0.710681,1 or 2
2018,Myanmar,430,25.4449,25.603073,1 or 2
2018,Egypt,233,86.64609,74.247554,1 or 2
2018,Bhutan,236,0.047561,0.04062,1 or 2
2018,Thailand,114,0.1094,0.093435,1 or 2
2018,Argentina,231,1.097043,1.079604,1 or 2
2018,Myanmar,140,1.933647,1.938061,1 or 2
2018,Tajikistan,231,0.02117,0.018081,1 or 2
2018,Guyana,231,0.026622,0.022736,1 or 2
2018,Marshall Islands,140,0.006827,0.005831,1 or 2
2018,Marshall Islands,231,2.359937,2.353286,1 or 2
2018,Antigua and Barbuda,231,0.087945,0.09988,1 or 2
2018,Pakistan,236,34.204207,32.12396,1 or 2
2018,Pakistan,210,1.866093,1.941581,1 or 2
2018,Nepal,140,8.269799,8.652416,1 or 2
2018,Antigua and Barbuda,151,0.010848,0.009265,1 or 2
2018,Iran,210,0.004881,0.004168,1 or 2
2018,Niue,430,0.905487,0.773348,1 or 2
2018,Somalia,231,0.018001,0.015374,1 or 2
2018,Malaysia,430,0.143227,0.161976,1 or 2
2018,Brazil,210,39.485041,37.289539,1 or 2
2018,Cambodia,140,6.822499,6.252972,1 or 2
2018,"Asia, regional",410,41.380147,43.037391,1 or 2
2018,Namibia,232,0.005514,0.00471,1 or 2
2018,Serbia,231,2.477724,2.45044,1 or 2
2018,Bolivia,140,21.299571,21.081098,1 or 2
2018,Jamaica,231,0.642942,0.648742,1 or 2
2018,Botswana,312,0.53345,0.455603,1 or 2
2018,Ghana,231,2.703452,2.738477,1 or 2
2018,Indonesia,312,19.222271,19.312689,1 or 2
2018,Argentina,410,0.17461,0.159866,1 or 2
2018,Afghanistan,210,9.208131,9.25734,1 or 2
2018,Indonesia,236,373.289857,386.789242,1 or 2
2018,Botswana,231,0.055067,0.051219,1 or 2
2018,Gabon,312,1.051189,0.897788,1 or 2
2018,Philippines,430,2.343078,2.32081,1 or 2
2018,Fiji,151,0.865407,0.869888,1 or 2
2018,Sudan,312,0.060191,0.059482,1 or 2
2018,Sri Lanka,140,27.867375,25.858965,1 or 2
2018,Tanzania,322,0.526939,0.450042,1 or 2
2018,Suriname,410,1.046962,1.032214,1 or 2
2018,Cambodia,430,2.647434,2.669779,1 or 2
2018,Bosnia and Herzegovina,231,4.592179,4.660074,1 or 2
2018,Afghanistan,140,0.301811,0.313107,1 or 2
2018,Cambodia,312,2.053051,1.917392,1 or 2
2018,Tonga,231,0.091354,0.089458,1 or 2
2018,Malawi,231,0.026793,0.022883,1 or 2
2018,Iraq,232,21.064053,17.990149,1 or 2
2018,Sierra Leone,231,0.007371,0.006295,1 or 2
2018,Djibouti,232,0.104374,0.098068,1 or 2
2018,Malawi,232,0.519539,0.554184,1 or 2
2018,Pakistan,151,7.841702,7.617945,1 or 2
2018,Türkiye,312,0.018146,0.015498,1 or 2
2018,Samoa,151,0.1889,0.206316,1 or 2
2018,Rwanda,140,0.030252,0.033318,1 or 2
2018,Cuba,231,1.91547,1.88383,1 or 2
2018,Ethiopia,140,1.052253,1.225871,1 or 2
2018,Ecuador,210,28.664414,27.777884,1 or 2
2018,Samoa,140,0.353602,0.302803,1 or 2
2018,Cook Islands,430,1.810974,1.546696,1 or 2
2018,Philippines,312,10.263048,8.765347,1 or 2
2018,Angola,232,0.121157,0.120259,1 or 2
2018,Nauru,140,0.040385,0.036764,1 or 2
2018,Viet Nam,233,0.894618,0.764066,1 or 2
2018,Dominican Republic,151,0.081091,0.078321,1 or 2
2018,Belize,231,0.090725,0.102254,1 or 2
2018,Zambia,231,0.86342,0.942932,1 or 2
2018,Marshall Islands,232,0.375533,0.320731,1 or 2
2018,Ghana,210,0.380054,0.401523,1 or 2
2018,Uzbekistan,311,20.034835,20.163258,1 or 2
2018,Democratic Republic of the Congo,410,52.27066,52.657503,1 or 2
2018,Georgia,410,2.984643,3.059042,1 or 2
2018,Solomon Islands,140,0.139136,0.119392,1 or 2
2018,Guinea,410,0.036754,0.034359,1 or 2
2018,Sudan,151,0.347486,0.342062,1 or 2
2018,Saint Vincent and the Grenadines,151,0.010096,0.008623,1 or 2
2018,Zambia,210,0.429196,0.445965,1 or 2
2018,Micronesia,140,0.022238,0.018994,1 or 2
2018,Fiji,140,0.06494,0.057744,1 or 2
2018,Mozambique,233,32.597697,27.840674,1 or 2
2018,Iran,151,0.429188,0.423265,1 or 2
2018,Bangladesh,231,52.067792,49.352339,1 or 2
2018,Cambodia,210,0.028451,0.025028,1 or 2
2018,Turkmenistan,231,0.063996,0.071131,1 or 2
2018,Bangladesh,236,275.256715,279.342625,1 or 2
2018,Mexico,210,1.05218,1.096468,1 or 2
2018,Lao People's Democratic Republic,430,1.289197,1.322574,1 or 2
2018,El Salvador,140,4.107187,3.804963,1 or 2
2018,Fiji,740,0.044669,0.046507,1 or 2
2018,Cameroon,236,7.038708,6.151138,1 or 2
2018,Sudan,232,0.382031,0.37255,1 or 2
2018,Tanzania,236,25.373703,24.285767,1 or 2
2018,Philippines,231,10.525494,10.765424,1 or 2
2018,Morocco,311,1.048763,1.017611,1 or 2
2018,Colombia,210,1.615732,1.680355,1 or 2
2018,Mexico,231,107.658866,108.307213,1 or 2
2018,Tunisia,231,13.099509,12.94741,1 or 2
2018,Thailand,311,0.198751,0.190245,1 or 2
2018,Panama,231,0.107974,0.1211,1 or 2
2018,Lebanon,231,0.800958,0.780931,1 or 2
2018,Kazakhstan,231,0.632348,0.683954,1 or 2
2018,Tonga,232,13.638385,12.268949,1 or 2
2018,Albania,312,0.48744,0.474376,1 or 2
2018,Guyana,232,0.13204,0.137429,1 or 2
2018,Guyana,236,0,0,1 or 2
2018,Lao People's Democratic Republic,210,2.409206,2.24663,1 or 2
2018,Tonga,430,0.812177,0.693655,1 or 2
2018,Bangladesh,312,0.386736,0.330299,1 or 2
2018,Egypt,236,15.067182,14.830782,1 or 2
2018,Tunisia,312,0.187262,0.165533,1 or 2
2018,Ecuador,231,0.068593,0.065365,1 or 2
2018,Niger,231,0.026748,0.022845,1 or 2
2018,Samoa,410,3.195442,2.73879,1 or 2
2018,Colombia,140,0.678927,0.7862,1 or 2
2018,Mongolia,151,17.434214,18.004263,1 or 2
2018,Myanmar,410,4.873348,5.675503,1 or 2
2018,"Oceania, regional",140,2.594945,2.216261,1 or 2
2018,Mongolia,321,0.186803,0.18782,1 or 2
2018,Uganda,236,5.697445,6.731115,1 or 2
2018,Saint Lucia,231,0.092228,0.103538,1 or 2
2018,Sierra Leone,232,2.74023,2.896768,1 or 2
2018,Honduras,231,0.012369,0.010564,1 or 2
2018,Tuvalu,231,0.049087,0.041924,1 or 2
2018,Rwanda,210,0.035227,0.038963,1 or 2
2018,Guatemala,140,1.337853,1.489269,1 or 2
2018,Sri Lanka,232,22.410025,23.363936,1 or 2
2018,Malawi,140,3.974216,4.132099,1 or 2
2018,Mozambique,231,3.503451,3.849955,1 or 2
2018,Afghanistan,232,12.720916,12.78951,1 or 2
2018,Gabon,410,0.234238,0.286144,1 or 2
2018,Papua New Guinea,236,13.579483,14.060901,1 or 2
2018,Dominican Republic,231,0.747868,0.750071,1 or 2
2018,"America, regional",410,30.35808,31.281748,1 or 2
2018,Bangladesh,234,12.2,10.419639,1 or 2
2018,Tuvalu,322,0,0,1 or 2
2018,Papua New Guinea,410,3.480403,3.867967,1 or 2
2018,Thailand,231,0.282753,0.273188,1 or 2
2018,Papua New Guinea,740,2.716461,2.320045,1 or 2
2018,"Bilateral, unspecified",111,3.596433,3.724197,1 or 2
2018,Comoros,140,0.074566,0.063684,1 or 2
2018,Angola,231,0.204525,0.25165,1 or 2
2018,Kenya,210,5.947155,6.155587,1 or 2
2018,West Bank and Gaza Strip,140,19.171808,20.680004,1 or 2
2018,"Bilateral, unspecified",331,30.386192,31.198071,1 or 2
2018,"Bilateral, unspecified",210,39.394793,42.120844,1 or 2
2018,"Bilateral, unspecified",112,0.895302,0.885972,1 or 2
2018,"Bilateral, unspecified",122,25.794529,29.111876,1 or 2
2018,"Bilateral, unspecified",130,39.255482,45.005767,1 or 2
2018,"Bilateral, unspecified",160,6.034273,6.305418,1 or 2
