year,recipient_name,sector_code,usd_disbursement,usd_disbursement_deflated,climate_adaptation
2018,"Africa, regional",410,76.53338,77.9658150000001,1 or 2
2018,Lao People's Democratic Republic,140,10.710019,10.532162,1 or 2
2018,Mozambique,232,7.657187,7.380651,1 or 2
2018,Rwanda,312,1.171124,1.180341,1 or 2
2018,Lao People's Democratic Republic,312,12.835466,12.451215,1 or 2
2018,Brazil,232,0.051517,0.051797,1 or 2
2018,Ghana,140,4.834791,5.027582,1 or 2
2018,Haiti,240,0.760029,0.80141,1 or 2
2018,Morocco,140,57.646395,56.907155,1 or 2
2018,Brazil,430,5.672003,5.477654,1 or 2
2018,Brazil,140,0.087994,0.080402,1 or 2
2018,"Bilateral, unspecified",410,588.501672999999,609.0854,1 or 2
2018,"Bilateral, unspecified",312,84.986071,86.994685,1 or 2
2018,"South America, regional",151,46.538821,46.785056,1 or 2
2018,Mozambique,311,27.575024,28.18811,1 or 2
2018,Colombia,311,13.147978,14.189164,1 or 2
2018,Uganda,311,55.830413,57.358388,1 or 2
2018,Chad,311,12.624408,12.885011,1 or 2
2018,Nicaragua,410,3.913586,4.004595,1 or 2
2018,"Africa, regional",140,21.743737,21.550031,1 or 2
2018,Bangladesh,240,0.10563,0.118148,1 or 2
2018,Tanzania,311,34.239227,35.422764,1 or 2
2018,Senegal,430,18.332665,18.030498,1 or 2
2018,Burkina Faso,311,59.807739,60.341298,1 or 2
2018,Georgia,311,5.889488,5.880746,1 or 2
2018,"Bilateral, unspecified",998,87.306174,88.861729,1 or 2
2018,"Caribbean & Central America, regional",311,6.511382,6.746476,1 or 2
2018,"Europe, regional",231,0.211724,0.211496,1 or 2
2018,Nepal,240,0.047459,0.047408,1 or 2
2018,El Salvador,311,3.888472,3.921047,1 or 2
2018,Nepal,410,18.626672,20.620944,1 or 2
2018,Ethiopia,311,130.078408,132.046638,1 or 2
2018,Mozambique,114,0.177201,0.175684,1 or 2
2018,Ethiopia,312,11.642165,11.377849,1 or 2
2018,"Bilateral, unspecified",910,25.646547,25.784899,1 or 2
2018,Mozambique,140,13.578105,13.79541,1 or 2
2018,India,410,47.57967,45.213368,1 or 2
2018,Paraguay,312,0.118022,0.117895,1 or 2
2018,Moldova,140,3.162861,3.251629,1 or 2
2018,Nicaragua,311,7.422986,7.444371,1 or 2
2018,"Central Asia, regional",430,2.062481,2.148221,1 or 2
2018,"Europe, regional",151,27.379869,27.044378,1 or 2
2018,Uganda,312,0.060678,0.05951,1 or 2
2018,Bhutan,312,0.340267,0.339435,1 or 2
2018,Uganda,140,13.161406,13.143933,1 or 2
2018,"South & Central Asia, regional",410,1.168883,1.169693,1 or 2
2018,"Caribbean & Central America, regional",231,0.807265,0.811462,1 or 2
2018,Uganda,430,22.208972,22.363915,1 or 2
2018,"South of Sahara, regional",231,34.82783,34.703196,1 or 2
2018,"Africa, regional",311,109.205637,113.585206,1 or 2
2018,Mozambique,740,0.790854,0.798788,1 or 2
2018,"South & Central Asia, regional",231,4.986747,5.462067,1 or 2
2018,"Africa, regional",152,0,0,1 or 2
2018,"South of Sahara, regional",311,148.296867,153.261004,1 or 2
2018,"South of Sahara, regional",410,99.021972,102.633594,1 or 2
2018,Colombia,140,1.156903,1.267043,1 or 2
2018,Tanzania,430,10.522935,10.530078,1 or 2
2018,Ethiopia,430,29.515599,28.329072,1 or 2
2018,Kenya,151,19.013231,19.742951,1 or 2
2018,Armenia,430,1.529444,1.520113,1 or 2
2018,"Europe, regional",740,0.893266,0.883116,1 or 2
2018,Nepal,430,42.354771,44.521858,1 or 2
2018,Bolivia,311,25.026946,25.12773,1 or 2
