year,recipient_name,sector_code,usd_disbursement,usd_disbursement_deflated
2018,Türkiye,730,18.75845,18.909099
2018,Jordan,720,446.003194,474.978745
2018,Lebanon,720,455.025065,488.64169
2018,West Bank and Gaza Strip,720,376.148695,391.699434
2018,Syrian Arab Republic,720,8709.992991,8616.30436799999
2018,Burundi,720,58.854173,61.957348
2018,Cameroon,720,110.01657,117.288492
2018,Democratic Republic of the Congo,720,565.192898,596.752923
2018,Rwanda,720,24.298658,26.471042
2018,Congo,720,12.342239,13.032429
2018,Tanzania,720,85.102508,90.881035
2018,Chad,720,214.0584,229.120321
2018,Eritrea,720,9.094945,9.474064
2018,Ethiopia,720,635.074588,678.145775
2018,Kenya,720,171.331501,185.742771
2018,"South of Sahara, regional",720,262.857047,274.653826
2018,South Sudan,720,772.560775,840.439772000001
2018,Uganda,720,207.497077,220.129766
2018,Angola,720,14.09735,15.126244
2018,Botswana,720,1.297473,1.351834
2018,Malawi,720,26.248866,28.903658
2018,Mozambique,720,16.191494,17.592709
2018,Zambia,720,12.52023,12.844139
2018,Zimbabwe,720,40.291355,44.976481
2018,Benin,720,0.466966,0.486024
2018,Burkina Faso,720,66.2691740000001,68.669072
2018,Côte d'Ivoire,720,8.078287,8.683749
2018,Gambia,720,1.589313,1.656992
2018,Ghana,720,4.104958,4.274682
2018,Guinea,720,9.703185,10.339889
2018,Guinea-Bissau,720,1.54929,1.55019
2018,Liberia,720,6.829404,7.098516
2018,Mali,720,158.614985,168.412428
2018,Nigeria,720,749.858941,819.23012
2018,Senegal,720,18.492592,19.743998
2018,Sierra Leone,720,5.932777,6.136239
2018,Togo,720,1.002494,1.043408
2018,"Middle East, regional",720,159.64216,168.456761
2018,Algeria,720,24.053831,24.565546
2018,Egypt,720,35.483245,37.728199
2018,Mauritania,720,51.709341,54.123458
2018,Morocco,720,8.340192,8.406181
2018,"North of Sahara, regional",720,0.752801,0.747223
2018,Tunisia,720,4.65381,4.80269
2018,"Africa, regional",720,79.90101,79.985685
2018,"Bilateral, unspecified",720,4307.804487,4722.690466
2018,"Central Asia, regional",720,1.922344,2.000297
2018,Kyrgyzstan,720,2.179628,2.268587
2018,Tajikistan,720,5.665684,5.921009
2018,China (People's Republic of),720,4.096033,4.265241
2018,India,720,16.139084,16.994776
2018,Nepal,720,8.768252,9.472309
2018,Sri Lanka,720,4.238859,4.578776
2018,Iran,720,31.187983,31.38685
2018,Malaysia,720,7.585823,8.072389
2018,Philippines,720,28.893942,30.46854
2018,Thailand,720,25.402136,28.763509
2018,"Far East Asia, regional",720,8.087019,9.009698
2018,Armenia,720,1.2411,1.323412
2018,Azerbaijan,720,2.061387,2.116302
2018,Belarus,720,0.927341,0.948846
2018,Georgia,720,3.746013,3.990069
2018,"Europe, regional",720,9.210717,10.464258
2018,Moldova,720,0.119346,0.124287
2018,Albania,720,0.406914,0.420528
2018,Bosnia and Herzegovina,720,13.246246,13.2938
2018,Kosovo,720,2.059015,2.191677
2018,Montenegro,720,0.852776,0.889585
2018,Serbia,720,7.67112,7.765282
2018,North Macedonia,720,4.679904,4.70553
2018,"South America, regional",720,18.882099,20.091151
2018,Brazil,720,4.85,5.133887
2018,Colombia,720,80.116148,84.829491
2018,Costa Rica,720,1.423157,1.5425
2018,Ecuador,720,20.74242,22.590139
2018,Mexico,720,6.25013,6.402456
2018,"Caribbean & Central America, regional",720,7.689168,7.874014
2018,Venezuela,720,40.297964,42.32307
2018,Dominican Republic,720,2.760846,2.966184
2018,"Asia, regional",720,165.334986,164.241185
2018,Myanmar,720,139.317735,146.807338
2018,Haiti,720,69.362596,74.618376
2018,Central African Republic,720,230.372605,243.05846
2018,Honduras,720,5.655086,6.222632
2018,Peru,720,7.156973,7.931563
2018,Madagascar,720,25.834027,28.20325
2018,Sudan,720,355.683158,381.769012
2018,Yemen,720,2972.471978,3131.467596
2018,Libya,720,77.796785,79.519526
2018,Lesotho,720,2.44148,2.708088
2018,Bangladesh,720,456.766539,480.988724
2018,Lao People's Democratic Republic,720,7.604009,7.859576
2018,Namibia,720,0.361721,0.388112
2018,Rwanda,740,1.01664,1.044466
2018,Iraq,720,929.579674,1000.820299
2018,El Salvador,720,3.990658,4.085304
2018,Pakistan,720,94.77765,102.681139
2018,Indonesia,720,52.9522460000001,54.83448
2018,Democratic People's Republic of Korea,720,25.268335,26.76971
2018,Niger,720,202.361134,219.548603
2018,Nicaragua,720,9.076398,9.247694
2018,Somalia,720,661.634859,713.422309
2018,Afghanistan,720,404.972604,431.003287
2018,Panama,720,1.80112,2.056931
2018,Kosovo,740,0.097766,0.087852
2018,Timor-Leste,720,0.056363,0.059395
2018,Ethiopia,740,14.505605,15.214891
2018,Papua New Guinea,720,16.750809,17.664298
2018,Gabon,720,0.017487,0.0182
2018,Bhutan,720,0.121577,0.12654
2018,Bolivia,720,0.313452,0.328403
2018,Uzbekistan,740,0.124459,0.127244
2018,Türkiye,720,410.105142,419.25212
2018,Ukraine,720,105.165882,109.72475
2018,Paraguay,720,0.097365,0.10059
2018,Guatemala,720,13.621547,14.838675
2018,Peru,740,44.776803,46.655123
2018,Djibouti,720,10.261704,10.508206
2018,Cambodia,720,0.107896,0.1123
2018,Nepal,740,98.625957,100.444014
2018,Pakistan,740,32.640081,32.864192
2018,Maldives,720,0.00523,0.005443
2018,"Asia, regional",740,2.169466,2.351705
2018,Comoros,720,0.03466,0.036075
2018,Malawi,740,13.907906,14.421446
2018,Haiti,740,27.58989,28.472596
2018,Costa Rica,740,1.222352,1.255478
2018,Afghanistan,740,22.633653,23.686892
2018,Zambia,740,0.337166,0.351571
2018,Jordan,740,2.003044,2.007242
2018,Egypt,740,0.29905,0.311257
2018,Democratic Republic of the Congo,740,21.435782,22.391495
2018,China (People's Republic of),740,9.709562,10.214743
2018,Thailand,740,1.562493,1.681203
2018,Guyana,740,0.717815,0.74357
2018,Benin,740,1.412544,1.470195
2018,Gambia,740,0.37839,0.393834
2018,Mali,740,4.248838,4.461541
2018,Armenia,740,0.569121,0.569838
2018,Malaysia,740,1.509462,1.61517
2018,"Bilateral, unspecified",740,181.931444,199.133325
2018,Indonesia,740,24.613465,26.826259
2018,Guinea-Bissau,740,0.18815,0.195828
2018,Bolivia,740,3.137433,3.21519
2018,Ecuador,740,9.860041,10.239106
2018,Paraguay,740,1.123468,1.250184
2018,Cabo Verde,740,0.032004,0.033311
2018,Myanmar,740,14.228956,14.120101
2018,"South Asia, regional",740,5.658233,5.907853
2018,Guatemala,740,3.306782,3.428918
2018,"America, regional",740,22.368574,23.715031
