year,sector_code,recipient_name,usd_disbursement,usd_disbursement_deflated
2018,510,Albania,0.03371,0.035086
2018,510,Moldova,11.3264,11.788676
2018,510,Burundi,3.178431,3.307193
2018,510,Cameroon,274.326272,277.058249
2018,510,Central African Republic,97.751284,99.765195
2018,510,Chad,255.683362,259.350086
2018,510,Comoros,0,0
2018,510,Congo,0,0
2018,510,Democratic Republic of the Congo,0,0
2018,510,Benin,69.632266,71.17053
2018,510,Ethiopia,0,0
2018,510,Gambia,36.240553,35.691565
2018,510,Ghana,191.289446,199.13562
2018,510,Guinea,77.741404,79.267821
2018,510,Guinea-Bissau,5.274076,5.475585
2018,510,Côte d'Ivoire,113.762533,117.216167
2018,510,Kenya,0,0
2018,510,Lesotho,1.897899,1.874621
2018,510,Liberia,13.310611,13.03736
2018,510,Madagascar,59.838616,61.466486
2018,510,Malawi,32.637529,33.932006
2018,510,Mali,177.928228,182.88136
2018,510,Mauritania,47.735334,49.661092
2018,510,Mozambique,0.539644,0.514167
2018,510,Bangladesh,0,0
2018,510,Niger,59.90133,61.065862
2018,510,Rwanda,25.639332,26.685777
2018,510,Senegal,10.811353,12.75355
2018,510,Sierra Leone,50.58656,51.135061
2018,510,Djibouti,30.493332,29.550944
2018,510,Tanzania,0,0
2018,510,Togo,89.864622,92.545398
2018,510,Burkina Faso,93.642602,94.733915
2018,510,Zambia,0,0
2018,510,Haiti,43.474685,42.940144
2018,510,Nicaragua,0,0
2018,510,Dominica,9.08769,8.976229
2018,510,Grenada,0,0
2018,510,Yemen,3847.299471,4004.323325
2018,510,Armenia,0.060911,0.060164
2018,510,Afghanistan,129.659856,128.745913
2018,510,Maldives,0,0
2018,510,Nepal,0.254751,0.251626
2018,510,Solomon Islands,0,0
2018,510,Samoa,3.458771,3.601038
2018,510,Kyrgyzstan,-1e-05,-1e-05
2018,510,Saint Lucia,0,0
2018,510,Saint Vincent and the Grenadines,0,0
2018,510,Sao Tome and Principe,0.898021,0.934673
2018,510,Mauritius,0.00022,0.000229
2018,510,"South of Sahara, regional",0.00391,0.00407
2018,510,"Caribbean & Central America, regional",0.00853,0.008878
2018,510,"Asia, regional",0.16496,0.171694
2018,510,Mongolia,1e-05,1e-05
2018,510,"Bilateral, unspecified",14.93011,15.527786
2018,510,"Middle East, regional",0.02222,0.023127
2018,510,Indonesia,0.011842,0.011576
2018,510,Lebanon,3e-05,3.1e-05
2018,510,Somalia,29.803253,29.891913
2018,510,Argentina,0.01238,0.012885
2018,510,Mexico,0.00074,0.00077
2018,510,Jordan,50,52.040702
2018,510,Viet Nam,0,0
2018,510,Lao People's Democratic Republic,0,0
2018,510,India,60.948335,52.054067
2018,510,Cambodia,0,0
2018,510,Iraq,309.893275,271.812634
2018,510,Papua New Guinea,0.090554,0.099619
2018,510,Morocco,61.841439,61.082948
2018,510,Sri Lanka,0,0
2018,510,Philippines,0,0
2018,510,Ukraine,0,0
2018,510,"Africa, regional",65.2235,63.150273
2018,510,Thailand,0,0
2018,510,Myanmar,0,0
2018,510,West Bank and Gaza Strip,190.254988,201.027448
2018,510,Pakistan,5.307072,5.147764
2018,510,Tuvalu,3.743742,4.053242
2018,510,Peru,0.049348,0.051362
2018,510,Tunisia,2.659967,2.627343
2018,510,Cabo Verde,9.657736,9.540315
2018,510,Serbia,398.03975,414.285362
2018,510,Sudan,40.35238,41.999324
2018,510,Eritrea,0,0
2018,510,Uganda,0,0
2018,510,Equatorial Guinea,0,0
2018,510,"South America, regional",0.016995,0.016611
2018,510,Guatemala,0.028262,0.027623
2018,510,Syrian Arab Republic,0.014858,0.014522
2018,510,Kiribati,2.28404,2.377988
2018,510,Tokelau,13.143331,13.683946
2018,510,Tonga,1.383509,1.440415
2018,510,Niue,6.485196,6.751947
2018,510,Egypt,265.549392,266.994441
2018,510,El Salvador,0,0
2018,510,Bolivia,0,0
2018,510,Micronesia,43.19857,49.821294
2018,510,Marshall Islands,28.33383,32.677656
2018,510,Palau,65.25,75.2534
2018,510,Fiji,0,0
2018,510,Gabon,88.516464,85.780888
2019,510,Djibouti,56.891068,58.7883
2019,510,Dominica,29.009198,30.462516
2019,510,Ecuador,43.591468,46.176237
2019,510,Egypt,251.87507,261.414189
2019,510,Equatorial Guinea,69.552915,73.677076
2019,510,Ethiopia,106.392071,112.70062
2019,510,Gabon,84.150577,84.90437
2019,510,Gambia,28.577656,29.220278
2019,510,Georgia,31.557183,33.428375
2019,510,Ghana,54.591589,57.550513
2019,510,Grenada,13.65083,14.46026
2019,510,Guinea,23.467255,24.025909
2019,510,Guinea-Bissau,0.214362,0.219466
2019,510,Haiti,2.830752,2.897804
2019,510,Iraq,86.84581,91.995357
2019,510,Jamaica,23.782565,25.192759
2019,510,Jordan,267.171051,257.972356
2019,510,Kenya,0,0
2019,510,Kosovo,0,0
2019,510,Kyrgyzstan,0,0
2019,510,Lesotho,0.881533,0.902777
2019,510,Liberia,6.443457,6.596848
2019,510,Madagascar,44.789725,47.444342
2019,510,Malawi,0.010849,0.011493
2019,510,Maldives,0,0
2019,510,Mali,340.551579,357.227577
2019,510,Mauritania,0.034535,0.035357
2019,510,Moldova,13.823555,14.24594
2019,510,Mongolia,0,0
2019,510,Mozambique,77.483661,82.078077
2019,510,Congo,50.375014,50.820451
2019,510,Côte d'Ivoire,61.198505,64.279404
2019,510,Afghanistan,201.897025,210.196927
2019,510,Albania,0.0151,0.015996
2019,510,Angola,0,0
2019,510,Argentina,183.540113,194.423178
2019,510,Armenia,368.213189,390.046499
2019,510,Bangladesh,0.002787,0.002854
2019,510,Benin,10.783922,11.352675
2019,510,Bosnia and Herzegovina,117.717688,124.697792
2019,510,Burkina Faso,82.090658,84.412599
2019,510,Burundi,0.040099,0.041053
2019,510,Cameroon,186.802977,192.231594
2019,510,Central African Republic,41.736315,42.562371
2019,510,Chad,124.238514,129.232788
2019,510,Comoros,0,0
